"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CAJATAMBO (000)",7640,1035,197,3464,2141,141,194,100,368
"Jefe o Jefa (001)",2510,258,,1157,686,61,87,53,208
"Esposa(o)/ compa¤era(o) (002)",1268,217,,599,299,26,53,8,66
"Hijo(a)/ hijastro(a) (003)",2942,396,165,1328,925,40,22,27,39
"Yerno/ nuera (004)",68,1,,15,37,1,7,2,5
"Nieto(a) (005)",348,75,25,168,74,,3,,3
"Padres/ suegros (006)",90,35,,49,4,,,,2
"Otro(a) pariente (007)",289,48,5,124,81,8,6,3,14
"Trabajador(a) del hogar (008)",5,,,3,2,,,,
"Pensionista (009)",17,,,1,3,1,1,1,10
"Otro(a) no pariente (010)",103,5,2,20,30,4,15,6,21
"Hombres (012)",3830,326,98,1702,1266,74,106,69,189
"Jefe o Jefa (013)",1742,48,,824,567,49,71,45,138
"Esposa(o)/ compa¤era(o) (014)",68,8,,30,22,,3,,5
"Hijo(a)/ hijastro(a) (015)",1528,192,89,642,531,18,17,17,22
"Yerno/ nuera (016)",26,,,5,15,,3,1,2
"Nieto(a) (017)",191,41,6,97,46,,1,,
"Padres/ suegros (018)",36,8,,24,4,,,,
"Otro(a) pariente (019)",162,24,3,65,53,4,3,2,8
"Trabajador(a) del hogar (020)",1,,,,1,,,,
"Pensionista (021)",7,,,,3,1,,1,2
"Otro(a) no pariente (022)",69,5,,15,24,2,8,3,12
"Mujeres (024)",3810,709,99,1762,875,67,88,31,179
"Jefe o Jefa (025)",768,210,,333,119,12,16,8,70
"Esposa(o)/ compa¤era(o) (026)",1200,209,,569,277,26,50,8,61
"Hijo(a)/ hijastro(a) (027)",1414,204,76,686,394,22,5,10,17
"Yerno/ nuera (028)",42,1,,10,22,1,4,1,3
"Nieto(a) (029)",157,34,19,71,28,,2,,3
"Padres/ suegros (030)",54,27,,25,,,,,2
"Otro(a) pariente (031)",127,24,2,59,28,4,3,1,6
"Trabajador(a) del hogar (032)",4,,,3,1,,,,
"Pensionista (033)",10,,,1,,,1,,8
"Otro(a) no pariente (034)",34,,2,5,6,2,7,3,9
,,,,,,,,,
"URBANA (036)",4690,590,126,1950,1420,107,157,69,271
"Jefe o Jefa (037)",1517,163,,611,437,41,67,41,157
"Esposa(o)/ compa¤era(o) (038)",776,122,,340,191,23,46,4,50
"Hijo(a)/ hijastro(a) (039)",1813,208,107,765,645,33,15,15,25
"Yerno/ nuera (040)",51,,,11,27,,7,2,4
"Nieto(a) (041)",220,46,14,109,48,,2,,1
"Padres/ suegros (042)",62,26,,32,2,,,,2
"Otro(a) pariente (043)",169,23,5,71,45,6,5,2,12
"Trabajador(a) del hogar (044)",2,,,2,,,,,
"Pensionista (045)",7,,,1,2,,,,4
"Otro(a) no pariente (046)",73,2,,8,23,4,15,5,16
"Hombres (048)",2316,181,66,912,834,50,84,48,141
"Jefe o Jefa (049)",1008,24,,397,360,30,55,35,107
"Esposa(o)/ compa¤era(o) (050)",51,8,,20,17,,3,,3
