"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ANDAHUAYLAS (000)",1987,31,872,680,314,90
"Conviviente (001)",441,1,258,152,25,5
"Separado(a) (002)",49,,11,24,12,2
"Casado(a) (003)",888,,133,432,253,70
"Viudo(a) (004)",26,,2,3,12,9
"Divorciado(a) (005)",6,,1,1,3,1
"Soltero(a) (006)",577,30,467,68,9,3
"Hombres (008)",1504,21,601,544,261,77
"Conviviente (009)",335,,185,127,18,5
"Separado(a) (010)",12,,2,7,1,2
"Casado(a) (011)",745,,102,355,228,60
"Viudo(a) (012)",18,,1,2,8,7
"Divorciado(a) (013)",4,,,1,2,1
"Soltero(a) (014)",390,21,311,52,4,2
"Mujeres (016)",483,10,271,136,53,13
"Conviviente (017)",106,1,73,25,7,
"Separado(a) (018)",37,,9,17,11,
"Casado(a) (019)",143,,31,77,25,10
"Viudo(a) (020)",8,,1,1,4,2
"Divorciado(a) (021)",2,,1,,1,
"Soltero(a) (022)",187,9,156,16,5,1
,,,,,,
"AREA URBANA (024)",969,20,473,322,120,34
"Conviviente (025)",270,1,160,96,10,3
"Separado(a) (026)",41,,8,22,10,1
"Casado(a) (027)",318,,44,160,87,27
"Viudo(a) (028)",13,,2,2,8,1
"Divorciado(a) (029)",3,,,,2,1
"Soltero(a) (030)",324,19,259,42,3,1
"Hombres (032)",632,14,279,223,87,29
"Conviviente (033)",176,,94,73,6,3
"Separado(a) (034)",8,,2,5,,1
"Casado(a) (035)",230,,23,110,74,23
"Viudo(a) (036)",6,,1,1,4,
"Divorciado(a) (037)",2,,,,1,1
"Soltero(a) (038)",210,14,159,34,2,1
"Mujeres (040)",337,6,194,99,33,5
"Conviviente (041)",94,1,66,23,4,
"Separado(a) (042)",33,,6,17,10,
"Casado(a) (043)",88,,21,50,13,4
"Viudo(a) (044)",7,,1,1,4,1
"Divorciado(a) (045)",1,,,,1,
"Soltero(a) (046)",114,5,100,8,1,
,,,,,,
"AREA RURAL (048)",1018,11,399,358,194,56
"Conviviente (049)",171,,98,56,15,2
"Separado(a) (050)",8,,3,2,2,1
"Casado(a) (051)",570,,89,272,166,43
"Viudo(a) (052)",13,,,1,4,8
"Divorciado(a) (053)",3,,1,1,1,
"Soltero(a) (054)",253,11,208,26,6,2
"Hombres (056)",872,7,322,321,174,48
"Conviviente (057)",159,,91,54,12,2
"Separado(a) (058)",4,,,2,1,1
"Casado(a) (059)",515,,79,245,154,37
"Viudo(a) (060)",12,,,1,4,7
"Divorciado(a) (061)",2,,,1,1,
"Soltero(a) (062)",180,7,152,18,2,1
"Mujeres (064)",146,4,77,37,20,8
"Conviviente (065)",12,,7,2,3,
"Separado(a) (066)",4,,3,,1,
"Casado(a) (067)",55,,10,27,12,6
"Viudo(a) (068)",1,,,,,1
"Divorciado(a) (069)",1,,1,,,
"Soltero(a) (070)",73,4,56,8,4,1
