"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CANGALLO (000)",9763,3313,6450
"Red pública de desague dentro de la vivienda (001)",844,763,81
"Red pública de desague fuera de la vivienda (002)",406,352,54
"Pozo séptico (003)",473,104,369
"Pozo ciego o negro / letrina (004)",5158,1514,3644
"Río, acequia o canal (005)",81,18,63
"No tiene (006)",2801,562,2239
,,,
"URBANA (008)",3326,2117,1209
"Red pública de desague dentro de la vivienda (009)",830,755,75
"Red pública de desague fuera de la vivienda (010)",399,350,49
"Pozo séptico (011)",237,88,149
"Pozo ciego o negro / letrina (012)",1030,562,468
"Río, acequia o canal (013)",12,10,2
"No tiene (014)",818,352,466
,,,
"RURAL (016)",6437,1196,5241
"Red pública de desague dentro de la vivienda (017)",14,8,6
"Red pública de desague fuera de la vivienda (018)",7,2,5
"Pozo séptico (019)",236,16,220
"Pozo ciego o negro / letrina (020)",4128,952,3176
"Río, acequia o canal (021)",69,8,61
"No tiene (022)",1983,210,1773
