"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia ANTONIO RAYMONDI",,,,,,,,,
"Viviendas particulares (001)",3951,518,1269,628,791,196,250,73,226
"Ocupantes presentes (002)",16819,1841,5278,2691,3510,871,1138,345,1145
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",3914,506,1252,620,791,196,250,73,226
"Ocupantes presentes (005)",16664,1795,5200,2660,3510,871,1138,345,1145
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",4,1,2,1,,,,,
"Ocupantes presentes (014)",13,5,4,4,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",31,10,14,7,,,,,
"Ocupantes presentes (017)",133,37,69,27,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,1,,,,,,,
"Ocupantes presentes (020)",4,4,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,,1,,,,,,
"Ocupantes presentes (023)",5,,5,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1068,87,222,170,232,70,108,40,139
"Ocupantes presentes (029)",4233,266,783,668,916,277,448,185,690
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1062,85,219,169,232,70,108,40,139
"Ocupantes presentes (032)",4211,257,774,664,916,277,448,185,690
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",4,1,2,1,,,,,
"Ocupantes presentes (041)",13,5,4,4,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,1,,,,,,,
"Ocupantes presentes (047)",4,4,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,,1,,,,,,
"Ocupantes presentes (050)",5,,5,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2883,431,1047,458,559,126,142,33,87
"Ocupantes presentes (056)",12586,1575,4495,2023,2594,594,690,160,455
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2852,421,1033,451,559,126,142,33,87
"Ocupantes presentes (059)",12453,1538,4426,1996,2594,594,690,160,455
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",31,10,14,7,,,,,
"Ocupantes presentes (071)",133,37,69,27,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
