"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia OXAPAMPA (000)",33010,1136,12010,11118,7004,1742
"Agric., ganadería, caza y silvicultura (001)",19596,887,7284,5865,4229,1331
"Pesca (002)",21,,8,5,7,1
"Explotación de minas y canteras (003)",489,1,193,220,75,
"Industrias manufactureras (004)",1007,18,355,349,239,46
"Suministro de electricidad, gas y agua (005)",30,,12,13,4,1
"Construcción (006)",941,7,362,343,200,29
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2989,64,920,1171,709,125
"Venta, mant.y rep. veh.autom.y motoc. (008)",354,5,153,108,81,7
"Comercio al por mayor (009)",129,2,43,53,26,5
"Comercio al por menor (010)",2506,57,724,1010,602,113
"Hoteles y restaurantes (011)",936,37,295,333,234,37
"Trans., almac. y comunicaciones (012)",1283,15,521,486,234,27
"Intermediación financiera (013)",26,,12,11,3,
"Activid.inmobil., empres. y alquileres (014)",504,,200,198,100,6
"Admin.pub. y defensa; p. segur.soc afil (015)",696,,211,324,143,18
"Enseñanza (016)",1506,,361,821,314,10
"Servicios sociales y de salud (017)",483,,111,254,106,12
"Otras activ. serv.comun.soc y personales (018)",347,10,100,142,80,15
"Hogares privados con servicio doméstico (019)",789,42,445,173,107,22
"Organiz. y organos extraterritoriales (020)",1,,,,1,
"Actividad economica no especificada (021)",776,10,298,271,153,44
"Desocupado (022)",590,45,322,139,66,18
"Hombres (023)",24121,796,8814,7823,5222,1466
"Agric., ganadería, caza y silvicultura (024)",16213,667,6075,4810,3478,1183
"Pesca (025)",18,,7,4,6,1
"Explotación de minas y canteras (026)",479,1,186,218,74,
"Industrias manufactureras (027)",831,12,312,283,187,37
"Suministro de electricidad, gas y agua (028)",26,,9,12,4,1
"Construcción (029)",899,7,344,325,194,29
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1421,34,437,498,374,78
"Venta, mant.y rep. veh.autom.y motoc. (031)",316,5,139,93,73,6
"Comercio al por mayor (032)",73,1,23,29,18,2
"Comercio al por menor (033)",1032,28,275,376,283,70
"Hoteles y restaurantes (034)",214,12,80,55,52,15
"Trans., almac. y comunicaciones (035)",1193,12,463,466,225,27
"Intermediación financiera (036)",13,,5,5,3,
"Activid.inmobil., empres. y alquileres (037)",355,,117,144,88,6
"Admin.pub. y defensa; p. segur.soc afil (038)",482,,122,222,120,18
"Enseñanza (039)",661,,125,352,176,8
