"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LA MAR (000)",26558,23608,1435,498,1017
"Empleado (001)",2241,759,372,322,788
"Obrero (002)",3545,2744,430,149,222
"Trabajador independiente (003)",15332,14939,393,,
"Empleador o patrono (004)",496,434,49,10,3
"Trabajador familiar no remunerado (005)",4789,4577,191,17,4
"Trabajador del hogar (006)",155,155,,,
"De 06 a 14 años (008)",871,807,54,6,4
"Empleado (009)",19,19,,,
"Obrero (010)",74,61,8,3,2
"Trabajador independiente (011)",101,97,4,,
"Empleador o patrono (012)",4,4,,,
"Trabajador familiar no remunerado (013)",662,615,42,3,2
"Trabajador del hogar (014)",11,11,,,
"De 15 a 29 años (016)",9340,8275,578,167,320
"Empleado (017)",825,381,116,85,243
"Obrero (018)",1707,1331,232,68,76
"Trabajador independiente (019)",4287,4157,130,,
"Empleador o patrono (020)",137,121,12,4,
"Trabajador familiar no remunerado (021)",2279,2180,88,10,1
"Trabajador del hogar (022)",105,105,,,
"De 30 a 44 años (024)",9123,7865,520,239,499
"Empleado (025)",1003,251,177,179,396
"Obrero (026)",1117,838,125,54,100
"Trabajador independiente (027)",5708,5557,151,,
"Empleador o patrono (028)",196,169,22,3,2
"Trabajador familiar no remunerado (029)",1078,1029,45,3,1
"Trabajador del hogar (030)",21,21,,,
"De 45 a 64 años (032)",5677,5164,246,84,183
"Empleado (033)",375,99,77,57,142
"Obrero (034)",545,427,55,23,40
"Trabajador independiente (035)",3983,3895,88,,
"Empleador o patrono (036)",121,107,10,3,1
"Trabajador familiar no remunerado (037)",641,624,16,1,
"Trabajador del hogar (038)",12,12,,,
"De 65 y más años (040)",1547,1497,37,2,11
"Empleado (041)",19,9,2,1,7
"Obrero (042)",102,87,10,1,4
"Trabajador independiente (043)",1253,1233,20,,
"Empleador o patrono (044)",38,33,5,,
"Trabajador familiar no remunerado (045)",129,129,,,
"Trabajador del hogar (046)",6,6,,,
,,,,,
"URBANA (048)",12204,10279,905,382,638
"Empleado (049)",1681,547,288,284,562
"Obrero (050)",1746,1350,243,82,71
"Trabajador independiente (051)",6370,6140,230,,
"Empleador o patrono (052)",308,278,23,5,2
"Trabajador familiar no remunerado (053)",1999,1864,121,11,3
"Trabajador del hogar (054)",100,100,,,
