"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AZANGARO (000)",39030,33823,2234,1328,1645
"Empleado (001)",3800,975,697,842,1286
"Obrero (002)",3807,2463,564,437,343
"Trabajador independiente (003)",19102,18449,653,,
"Empleador o patrono (004)",205,169,22,11,3
"Trabajador familiar no remunerado (005)",11709,11360,298,38,13
"Trabajador del hogar (006)",407,407,,,
"De 06 a 14 años (008)",584,555,29,,
"Empleado (009)",10,9,1,,
"Obrero (010)",26,24,2,,
"Trabajador independiente (011)",72,66,6,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",464,444,20,,
"Trabajador del hogar (014)",11,11,,,
"De 15 a 29 años (016)",10831,9237,735,320,539
"Empleado (017)",940,327,131,96,386
"Obrero (018)",1548,943,255,204,146
"Trabajador independiente (019)",4138,3926,212,,
"Empleador o patrono (020)",88,76,9,2,1
"Trabajador familiar no remunerado (021)",3883,3731,128,18,6
"Trabajador del hogar (022)",234,234,,,
"De 30 a 44 años (024)",12628,10531,870,575,652
"Empleado (025)",1609,358,338,400,513
"Obrero (026)",1314,834,190,157,133
"Trabajador independiente (027)",6301,6064,237,,
"Empleador o patrono (028)",62,45,9,6,2
"Trabajador familiar no remunerado (029)",3252,3140,96,12,4
"Trabajador del hogar (030)",90,90,,,
"De 45 a 64 años (032)",10909,9508,552,410,439
"Empleado (033)",1198,264,221,336,377
"Obrero (034)",730,497,107,66,60
"Trabajador independiente (035)",6036,5863,173,,
"Empleador o patrono (036)",33,29,3,1,
"Trabajador familiar no remunerado (037)",2853,2796,48,7,2
"Trabajador del hogar (038)",59,59,,,
"De 65 y más años (040)",4078,3992,48,23,15
"Empleado (041)",43,17,6,10,10
"Obrero (042)",189,165,10,10,4
"Trabajador independiente (043)",2555,2530,25,,
"Empleador o patrono (044)",21,18,1,2,
"Trabajador familiar no remunerado (045)",1257,1249,6,1,1
"Trabajador del hogar (046)",13,13,,,
,,,,,
"URBANA (048)",9738,6596,996,936,1210
"Empleado (049)",2813,633,467,710,1003
"Obrero (050)",1395,775,202,215,203
"Trabajador independiente (051)",4265,3997,268,,
"Empleador o patrono (052)",60,47,8,4,1
"Trabajador familiar no remunerado (053)",1014,953,51,7,3
