"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia VIRU (000)",37427,31276,6151
"De 3 a 5 años (001)",5207,559,4648
"De 6 a 11 años (002)",9236,8339,897
"De 12 a 16 años (003)",8470,8269,201
"De 17 a 24 años (004)",14514,14109,405
"Hombres (005)",19258,16218,3040
"De 3 a 5 años (006)",2611,278,2333
"De 6 a 11 años (007)",4733,4256,477
"De 12 a 16 años (008)",4270,4172,98
"De 17 a 24 años (009)",7644,7512,132
"Mujeres (010)",18169,15058,3111
"De 3 a 5 años (011)",2596,281,2315
"De 6 a 11 años (012)",4503,4083,420
"De 12 a 16 años (013)",4200,4097,103
"De 17 a 24 años (014)",6870,6597,273
,,,
"URBANA (015)",29268,24601,4667
"De 3 a 5 años (016)",4041,445,3596
"De 6 a 11 años (017)",7131,6471,660
"De 12 a 16 años (018)",6429,6292,137
"De 17 a 24 años (019)",11667,11393,274
"Hombres (020)",14949,12636,2313
"De 3 a 5 años (021)",2030,224,1806
"De 6 a 11 años (022)",3643,3287,356
"De 12 a 16 años (023)",3183,3109,74
"De 17 a 24 años (024)",6093,6016,77
"Mujeres (025)",14319,11965,2354
"De 3 a 5 años (026)",2011,221,1790
"De 6 a 11 años (027)",3488,3184,304
"De 12 a 16 años (028)",3246,3183,63
"De 17 a 24 años (029)",5574,5377,197
,,,
"RURAL (030)",8159,6675,1484
"De 3 a 5 años (031)",1166,114,1052
"De 6 a 11 años (032)",2105,1868,237
"De 12 a 16 años (033)",2041,1977,64
"De 17 a 24 años (034)",2847,2716,131
"Hombres (035)",4309,3582,727
"De 3 a 5 años (036)",581,54,527
"De 6 a 11 años (037)",1090,969,121
"De 12 a 16 años (038)",1087,1063,24
"De 17 a 24 años (039)",1551,1496,55
"Mujeres (040)",3850,3093,757
"De 3 a 5 años (041)",585,60,525
"De 6 a 11 años (042)",1015,899,116
"De 12 a 16 años (043)",954,914,40
"De 17 a 24 años (044)",1296,1220,76
