"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHUPACA (000)",14757,138,455,1038,1864,3031,4362,3869
"De 12 a 14 años (001)",12,,,,,,,12
"De 15 a 19 años (002)",270,,,,,,158,112
"De 20 a 24 años (003)",1355,,,,,2,702,651
"De 25 a 29 años (004)",1597,,,,,78,968,551
"De 30 a 34 años (005)",1617,,,,,285,934,398
"De 35 a 39 años (006)",1696,,,,7,534,830,325
"De 40 a 44 años (007)",1538,,,,86,684,514,254
"De 45 a 49 años (008)",1304,,,4,221,660,211,208
"De 50 y más años (009)",5368,138,455,1034,1550,788,45,1358
"PEA (010)",6671,10,112,374,895,1637,1955,1688
"De 12 a 14 años (011)",2,,,,,,,2
"De 15 a 19 años (012)",74,,,,,,48,26
"De 20 a 24 años (013)",523,,,,,1,264,258
"De 25 a 29 años (014)",731,,,,,36,422,273
"De 30 a 34 años (015)",788,,,,,139,430,219
"De 35 a 39 años (016)",897,,,,5,303,407,182
"De 40 a 44 años (017)",823,,,,46,386,252,139
"De 45 a 49 años (018)",727,,,2,129,373,105,118
"De 50 y más años (019)",2106,10,112,372,715,399,27,471
"Ocupada (020)",6536,10,112,371,890,1613,1906,1634
"De 12 a 14 años (021)",2,,,,,,,2
"De 15 a 19 años (022)",71,,,,,,46,25
"De 20 a 24 años (023)",497,,,,,1,253,243
"De 25 a 29 años (024)",703,,,,,35,407,261
"De 30 a 34 años (025)",764,,,,,135,421,208
"De 35 a 39 años (026)",876,,,,5,296,398,177
"De 40 a 44 años (027)",816,,,,46,384,249,137
"De 45 a 49 años (028)",720,,,2,129,368,105,116
"De 50 y más años (029)",2087,10,112,369,710,394,27,465
"Desocupada (030)",135,,,3,5,24,49,54
"De 15 a 19 años (032)",3,,,,,,2,1
"De 20 a 24 años (033)",26,,,,,,11,15
"De 25 a 29 años (034)",28,,,,,1,15,12
"De 30 a 34 años (035)",24,,,,,4,9,11
"De 35 a 39 años (036)",21,,,,,7,9,5
"De 40 a 44 años (037)",7,,,,,2,3,2
"De 45 a 49 años (038)",7,,,,,5,,2
"De 50 y más años (039)",19,,,3,5,5,,6
"No PEA (040)",8086,128,343,664,969,1394,2407,2181
"De 12 a 14 años (041)",10,,,,,,,10
"De 15 a 19 años (042)",196,,,,,,110,86
"De 20 a 24 años (043)",832,,,,,1,438,393
"De 25 a 29 años (044)",866,,,,,42,546,278
"De 30 a 34 años (045)",829,,,,,146,504,179
"De 35 a 39 años (046)",799,,,,2,231,423,143
"De 40 a 44 años (047)",715,,,,40,298,262,115
"De 45 a 49 años (048)",577,,,2,92,287,106,90
