"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LA CONVENCION (000)",1817,565,1252
"Sin nivel (001)",72,20,52
"Educación inicial (002)",2,,2
"Primaria (003)",353,111,242
"Secundaria (004)",1021,342,679
"Superior no univ. incompleta (005)",102,27,75
"Superior no univ. completa (006)",109,28,81
"Superior univ. incompleta (007)",49,8,41
"Superior univ. completa (008)",109,29,80
"Hombres (010)",1209,342,867
"Sin nivel (011)",43,7,36
"Educación inicial (012)",1,,1
"Primaria (013)",244,74,170
"Secundaria (014)",729,222,507
"Superior no univ. incompleta (015)",56,12,44
"Superior no univ. completa (016)",45,8,37
"Superior univ. incompleta (017)",34,6,28
"Superior univ. completa (018)",57,13,44
"Mujeres (020)",608,223,385
"Sin nivel (021)",29,13,16
"Educación inicial (022)",1,,1
"Primaria (023)",109,37,72
"Secundaria (024)",292,120,172
"Superior no univ. incompleta (025)",46,15,31
"Superior no univ. completa (026)",64,20,44
"Superior univ. incompleta (027)",15,2,13
"Superior univ. completa (028)",52,16,36
,,,
"AREA URBANA (030)",1178,298,880
"Sin nivel (031)",32,9,23
"Educación inicial (032)",2,,2
"Primaria (033)",165,32,133
"Secundaria (034)",672,187,485
"Superior no univ. incompleta (035)",76,11,65
"Superior no univ. completa (036)",85,25,60
"Superior univ. incompleta (037)",43,6,37
"Superior univ. completa (038)",103,28,75
"Hombres (040)",736,154,582
"Sin nivel (041)",16,2,14
"Educación inicial (042)",1,,1
"Primaria (043)",97,17,80
"Secundaria (044)",461,106,355
"Superior no univ. incompleta (045)",42,5,37
"Superior no univ. completa (046)",36,7,29
"Superior univ. incompleta (047)",30,5,25
"Superior univ. completa (048)",53,12,41
"Mujeres (050)",442,144,298
"Sin nivel (051)",16,7,9
"Educación inicial (052)",1,,1
"Primaria (053)",68,15,53
"Secundaria (054)",211,81,130
"Superior no univ. incompleta (055)",34,6,28
"Superior no univ. completa (056)",49,18,31
"Superior univ. incompleta (057)",13,1,12
"Superior univ. completa (058)",50,16,34
,,,
"AREA RURAL (060)",639,267,372
"Sin nivel (061)",40,11,29
"Primaria (063)",188,79,109
"Secundaria (064)",349,155,194
"Superior no univ. incompleta (065)",26,16,10
"Superior no univ. completa (066)",24,3,21
"Superior univ. incompleta (067)",6,2,4
"Superior univ. completa (068)",6,1,5
"Hombres (070)",473,188,285
"Sin nivel (071)",27,5,22
"Primaria (073)",147,57,90
"Secundaria (074)",268,116,152
"Superior no univ. incompleta (075)",14,7,7
"Superior no univ. completa (076)",9,1,8
"Superior univ. incompleta (077)",4,1,3
"Superior univ. completa (078)",4,1,3
"Mujeres (080)",166,79,87
"Sin nivel (081)",13,6,7
"Primaria (083)",41,22,19
"Secundaria (084)",81,39,42
"Superior no univ. incompleta (085)",12,9,3
"Superior no univ. completa (086)",15,2,13
"Superior univ. incompleta (087)",2,1,1
"Superior univ. completa (088)",2,,2
