"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUAROCHIRI (000)",32612,5476,8912,13680,451,3281,812
"Sin nivel (001)",809,36,151,433,6,145,38
"Educación inicial (002)",23,2,6,4,,10,1
"Primaria (003)",7906,284,1545,4397,118,1342,220
"Secundaria (004)",14544,1560,5036,5964,188,1406,390
"Superior no univ. incompleta (005)",2402,565,773,838,31,132,63
"Superior no univ. completa (006)",2442,811,706,761,32,92,40
"Superior univ. incompleta (007)",1488,506,346,511,25,72,28
"Superior univ. completa (008)",2998,1712,349,772,51,82,32
"Hombres (010)",22181,3111,7948,9416,315,1359,32
"Sin nivel (011)",309,9,92,166,1,40,1
"Educación inicial (012)",11,,5,1,,5,
"Primaria (013)",4828,157,1228,2931,82,419,11
"Secundaria (014)",10854,978,4627,4375,138,724,12
"Superior no univ. incompleta (015)",1702,336,700,574,25,66,1
"Superior no univ. completa (016)",1596,410,649,466,21,47,3
"Superior univ. incompleta (017)",1034,293,326,364,18,31,2
"Superior univ. completa (018)",1847,928,321,539,30,27,2
"Mujeres (020)",10431,2365,964,4264,136,1922,780
"Sin nivel (021)",500,27,59,267,5,105,37
"Educación inicial (022)",12,2,1,3,,5,1
"Primaria (023)",3078,127,317,1466,36,923,209
"Secundaria (024)",3690,582,409,1589,50,682,378
"Superior no univ. incompleta (025)",700,229,73,264,6,66,62
"Superior no univ. completa (026)",846,401,57,295,11,45,37
"Superior univ. incompleta (027)",454,213,20,147,7,41,26
"Superior univ. completa (028)",1151,784,28,233,21,55,30
,,,,,,,
"URBANA (030)",21279,4451,5145,8942,291,1871,579
"Sin nivel (031)",457,25,79,251,5,69,28
"Educación inicial (032)",18,2,6,3,,6,1
"Primaria (033)",4289,220,804,2397,50,686,132
"Secundaria (034)",9299,1212,2852,3989,126,845,275
"Superior no univ. incompleta (035)",1718,458,484,609,24,88,55
"Superior no univ. completa (036)",1889,665,467,630,27,67,33
"Superior univ. incompleta (037)",1154,422,224,414,19,48,27
"Superior univ. completa (038)",2455,1447,229,649,40,62,28
"Hombres (040)",13689,2429,4510,5825,190,713,22
"Sin nivel (041)",147,4,54,72,,16,1
"Educación inicial (042)",8,,5,,,3,
"Primaria (043)",2381,117,617,1442,28,169,8
"Secundaria (044)",6619,738,2562,2809,91,412,7
"Superior no univ. incompleta (045)",1161,266,437,396,19,42,1
"Superior no univ. completa (046)",1154,316,416,370,17,33,2
"Superior univ. incompleta (047)",776,234,212,295,13,20,2
"Superior univ. completa (048)",1443,754,207,441,22,18,1
"Mujeres (050)",7590,2022,635,3117,101,1158,557
"Sin nivel (051)",310,21,25,179,5,53,27
"Educación inicial (052)",10,2,1,3,,3,1
"Primaria (053)",1908,103,187,955,22,517,124
"Secundaria (054)",2680,474,290,1180,35,433,268
"Superior no univ. incompleta (055)",557,192,47,213,5,46,54
"Superior no univ. completa (056)",735,349,51,260,10,34,31
"Superior univ. incompleta (057)",378,188,12,119,6,28,25
"Superior univ. completa (058)",1012,693,22,208,18,44,27
,,,,,,,
"RURAL (060)",11333,1025,3767,4738,160,1410,233
"Sin nivel (061)",352,11,72,182,1,76,10
"Educación inicial (062)",5,,,1,,4,
"Primaria (063)",3617,64,741,2000,68,656,88
"Secundaria (064)",5245,348,2184,1975,62,561,115
"Superior no univ. incompleta (065)",684,107,289,229,7,44,8
"Superior no univ. completa (066)",553,146,239,131,5,25,7
"Superior univ. incompleta (067)",334,84,122,97,6,24,1
"Superior univ. completa (068)",543,265,120,123,11,20,4
"Hombres (070)",8492,682,3438,3591,125,646,10
"Sin nivel (071)",162,5,38,94,1,24,
"Educación inicial (072)",3,,,1,,2,
"Primaria (073)",2447,40,611,1489,54,250,3
"Secundaria (074)",4235,240,2065,1566,47,312,5
"Superior no univ. incompleta (075)",541,70,263,178,6,24,
"Superior no univ. completa (076)",442,94,233,96,4,14,1
"Superior univ. incompleta (077)",258,59,114,69,5,11,
"Superior univ. completa (078)",404,174,114,98,8,9,1
"Mujeres (080)",2841,343,329,1147,35,764,223
"Sin nivel (081)",190,6,34,88,,52,10
"Educación inicial (082)",2,,,,,2,
"Primaria (083)",1170,24,130,511,14,406,85
"Secundaria (084)",1010,108,119,409,15,249,110
"Superior no univ. incompleta (085)",143,37,26,51,1,20,8
"Superior no univ. completa (086)",111,52,6,35,1,11,6
"Superior univ. incompleta (087)",76,25,8,28,1,13,1
"Superior univ. completa (088)",139,91,6,25,3,11,3
