"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia OXAPAMPA (000)",40316,6111,12077,10152,11976
"Asiste actualmente (001)",23067,1761,10861,7910,2535
"No asiste (002)",17249,4350,1216,2242,9441
"Hombres (004)",20949,3083,6256,5199,6411
"Asiste actualmente (005)",11785,858,5612,3967,1348
"No asiste (006)",9164,2225,644,1232,5063
"Mujeres (008)",19367,3028,5821,4953,5565
"Asiste actualmente (009)",11282,903,5249,3943,1187
"No asiste (010)",8085,2125,572,1010,4378
,,,,,
"URBANA (012)",14300,1755,3969,3893,4683
"Asiste actualmente (013)",9581,800,3805,3484,1492
"No asiste (014)",4719,955,164,409,3191
"Hombres (016)",7293,849,2049,1882,2513
"Asiste actualmente (017)",4755,374,1966,1674,741
"No asiste (018)",2538,475,83,208,1772
"Mujeres (020)",7007,906,1920,2011,2170
"Asiste actualmente (021)",4826,426,1839,1810,751
"No asiste (022)",2181,480,81,201,1419
,,,,,
"RURAL (024)",26016,4356,8108,6259,7293
"Asiste actualmente (025)",13486,961,7056,4426,1043
"No asiste (026)",12530,3395,1052,1833,6250
"Hombres (028)",13656,2234,4207,3317,3898
"Asiste actualmente (029)",7030,484,3646,2293,607
"No asiste (030)",6626,1750,561,1024,3291
"Mujeres (032)",12360,2122,3901,2942,3395
"Asiste actualmente (033)",6456,477,3410,2133,436
"No asiste (034)",5904,1645,491,809,2959
