"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CARHUAZ (000)",13777,212,4688,4536,3261,1080
"Agric., ganadería, caza y silvicultura (001)",7437,143,2256,2294,1940,804
"Pesca (002)",4,,2,2,,
"Explotación de minas y canteras (003)",146,1,58,67,17,3
"Industrias manufactureras (004)",463,12,201,130,94,26
"Suministro de electricidad, gas y agua (005)",11,,1,7,3,
"Construcción (006)",540,4,219,182,118,17
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1241,11,360,459,317,94
"Venta, mant.y rep. veh.autom.y motoc. (008)",86,2,48,24,12,
"Comercio al por mayor (009)",53,,21,21,10,1
"Comercio al por menor (010)",1102,9,291,414,295,93
"Hoteles y restaurantes (011)",358,9,130,117,83,19
"Trans., almac. y comunicaciones (012)",595,,281,211,95,8
"Intermediación financiera (013)",4,,2,1,1,
"Activid.inmobil., empres. y alquileres (014)",202,,81,78,39,4
"Admin.pub. y defensa; p. segur.soc afil (015)",396,,118,165,106,7
"Enseñanza (016)",508,,113,263,126,6
"Servicios sociales y de salud (017)",124,,36,62,22,4
"Otras activ. serv.comun.soc y personales (018)",249,6,104,87,44,8
"Hogares privados con servicio doméstico (019)",312,3,169,66,54,20
"Actividad economica no especificada (021)",299,,107,88,69,35
"Desocupado (022)",888,23,450,257,133,25
"Hombres (023)",10246,135,3446,3402,2449,814
"Agric., ganadería, caza y silvicultura (024)",6213,90,1854,1968,1627,674
"Pesca (025)",4,,2,2,,
"Explotación de minas y canteras (026)",140,1,56,63,17,3
"Industrias manufactureras (027)",363,8,164,102,72,17
"Suministro de electricidad, gas y agua (028)",10,,,7,3,
"Construcción (029)",521,4,210,176,116,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",558,7,198,195,120,38
"Venta, mant.y rep. veh.autom.y motoc. (031)",77,2,44,21,10,
"Comercio al por mayor (032)",32,,13,13,6,
"Comercio al por menor (033)",449,5,141,161,104,38
"Hoteles y restaurantes (034)",111,3,48,37,18,5
"Trans., almac. y comunicaciones (035)",566,,257,206,95,8
"Intermediación financiera (036)",3,,2,1,,
"Activid.inmobil., empres. y alquileres (037)",155,,57,57,37,4
"Admin.pub. y defensa; p. segur.soc afil (038)",295,,76,126,87,6
"Enseñanza (039)",271,,49,134,84,4
"Servicios sociales y de salud (040)",56,,19,25,9,3
"Otras activ. serv.comun.soc y personales (041)",167,4,68,64,24,7
