"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHURCAMPA (000)",466,167,299
"De 14 a 29 años (001)",250,120,130
"De 30 a 44 años (002)",121,36,85
"De 45 a 64 años (003)",79,11,68
"De 65 y más años (004)",16,,16
"Hombres (005)",374,126,248
"De 14 a 29 años (006)",187,84,103
"De 30 a 44 años (007)",100,31,69
"De 45 a 64 años (008)",72,11,61
"De 65 y más años (009)",15,,15
"Mujeres (010)",92,41,51
"De 14 a 29 años (011)",63,36,27
"De 30 a 44 años (012)",21,5,16
"De 45 a 64 años (013)",7,,7
"De 65 y más años (014)",1,,1
,,,
"AREA URBANA (015)",178,56,122
"De 14 a 29 años (016)",89,42,47
"De 30 a 44 años (017)",48,13,35
"De 45 a 64 años (018)",37,1,36
"De 65 y más años (019)",4,,4
"Hombres (020)",137,39,98
"De 14 a 29 años (021)",61,26,35
"De 30 a 44 años (022)",40,12,28
"De 45 a 64 años (023)",32,1,31
"De 65 y más años (024)",4,,4
"Mujeres (025)",41,17,24
"De 14 a 29 años (026)",28,16,12
"De 30 a 44 años (027)",8,1,7
"De 45 a 64 años (028)",5,,5
,,,
"AREA RURAL (030)",288,111,177
"De 14 a 29 años (031)",161,78,83
"De 30 a 44 años (032)",73,23,50
"De 45 a 64 años (033)",42,10,32
"De 65 y más años (034)",12,,12
"Hombres (035)",237,87,150
"De 14 a 29 años (036)",126,58,68
"De 30 a 44 años (037)",60,19,41
"De 45 a 64 años (038)",40,10,30
"De 65 y más años (039)",11,,11
"Mujeres (040)",51,24,27
"De 14 a 29 años (041)",35,20,15
"De 30 a 44 años (042)",13,4,9
"De 45 a 64 años (043)",2,,2
"De 65 y más años (044)",1,,1
