"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PIURA (000)",175996,162074,688,35598,35939,29081,32291,16306,8325,3846,13922,552995
"De 12 a 14 años (001)",193,82,7,59,16,,,,,,111,91
"De 15 a 19 años (002)",4200,3529,45,3038,378,53,15,,,,671,4013
"De 20 a 24 años (003)",18509,14244,93,9091,3967,904,169,20,,,4265,20569
"De 25 a 29 años (004)",23610,19988,77,7899,7142,3346,1420,92,12,,3622,38889
"De 30 a 34 años (005)",22807,21156,77,4964,6993,4969,3584,500,61,8,1651,52892
"De 35 a 39 años (006)",21553,20481,59,3067,5462,5251,5074,1320,210,38,1072,62306
"De 40 a 44 años (007)",19338,18596,62,2137,4072,4499,5193,1949,536,148,742,65020
"De 45 a 49 años (008)",16861,16304,51,1705,2923,3491,4697,2272,899,266,557,63606
"De 50 y más años (009)",48925,47694,217,3638,4986,6568,12139,10153,6607,3386,1231,245609
"PEA (010)",56907,50512,241,13318,13047,9792,8983,3315,1317,499,6395,145540
"De 12 a 14 años (011)",11,10,,6,4,,,,,,1,14
"De 15 a 19 años (012)",565,488,7,425,44,11,1,,,,77,550
"De 20 a 24 años (013)",4964,3172,39,2235,714,147,33,4,,,1792,4269
"De 25 a 29 años (014)",8027,5973,39,3092,1878,694,252,14,4,,2054,10104
"De 30 a 34 años (015)",8630,7662,36,2522,2694,1444,859,96,8,3,968,16603
"De 35 a 39 años (016)",8792,8220,21,1695,2576,1995,1583,296,44,10,572,21998
"De 40 a 44 años (017)",8159,7813,23,1225,2105,1980,1789,544,120,27,346,23863
"De 45 a 49 años (018)",6950,6692,23,942,1466,1640,1749,621,201,50,258,22605
"De 50 y más años (019)",10809,10482,53,1176,1566,1881,2717,1740,940,409,327,45534
