"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MARISCAL NIETO (000)",72849,1070,16860,20035,17240,12444,5200
"Hombres (001)",37266,527,8710,10049,8731,6519,2730
"Mujeres (002)",35583,543,8150,9986,8509,5925,2470
"Viviendas particulares (003)",71151,1056,16798,19303,16642,12195,5157
"Hombres (004)",35939,516,8679,9464,8243,6333,2704
"Mujeres (005)",35212,540,8119,9839,8399,5862,2453
"Viviendas colectivas (006)",1431,13,46,645,511,182,34
"Hombres (007)",1188,11,23,539,442,152,21
"Mujeres (008)",243,2,23,106,69,30,13
"Otro tipo (009)",267,1,16,87,87,67,9
"Hombres (010)",139,,8,46,46,34,5
"Mujeres (011)",128,1,8,41,41,33,4
,,,,,,,
"URBANA (012)",62797,958,14848,17540,14881,10445,4125
"Hombres (013)",31575,474,7628,8611,7328,5379,2155
"Mujeres (014)",31222,484,7220,8929,7553,5066,1970
"Viviendas particulares (015)",61771,944,14786,17026,14623,10303,4089
"Hombres (016)",30898,463,7597,8241,7165,5297,2135
"Mujeres (017)",30873,481,7189,8785,7458,5006,1954
"Viviendas colectivas (018)",776,13,46,432,180,76,29
"Hombres (019)",552,11,23,329,124,49,16
"Mujeres (020)",224,2,23,103,56,27,13
"Otro tipo (021)",250,1,16,82,78,66,7
"Hombres (022)",125,,8,41,39,33,4
"Mujeres (023)",125,1,8,41,39,33,3
,,,,,,,
"RURAL (024)",10052,112,2012,2495,2359,1999,1075
"Hombres (025)",5691,53,1082,1438,1403,1140,575
"Mujeres (026)",4361,59,930,1057,956,859,500
"Viviendas particulares (027)",9380,112,2012,2277,2019,1892,1068
"Hombres (028)",5041,53,1082,1223,1078,1036,569
"Mujeres (029)",4339,59,930,1054,941,856,499
"Viviendas colectivas (030)",655,,,213,331,106,5
"Hombres (031)",636,,,210,318,103,5
"Mujeres (032)",19,,,3,13,3,
"Otro tipo (033)",17,,,5,9,1,2
"Hombres (034)",14,,,5,7,1,1
"Mujeres (035)",3,,,,2,,1
