"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LIMA (000)",3182,3182,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",1748,1748,
"Casa pensión (003)",144,144,
"Hospital, clinica (004)",153,153,
"Cárcel, centro de readaptación social (005)",63,63,
"Asilo (006)",51,51,
"Aldea infantil, orfelinato, etc (007)",58,58,
"Otro (008)",797,797,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",168,168,
