"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHUMBIVILCAS (000)",433,179,254
"Sin nivel (001)",31,5,26
"Educación inicial (002)",1,1,
"Primaria (003)",152,61,91
"Secundaria (004)",182,87,95
"Superior no univ. incompleta (005)",13,5,8
"Superior no univ. completa (006)",37,18,19
"Superior univ. incompleta (007)",5,2,3
"Superior univ. completa (008)",12,,12
"Hombres (010)",308,128,180
"Sin nivel (011)",13,2,11
"Educación inicial (012)",1,1,
"Primaria (013)",108,40,68
"Secundaria (014)",140,66,74
"Superior no univ. incompleta (015)",9,2,7
"Superior no univ. completa (016)",27,15,12
"Superior univ. incompleta (017)",4,2,2
"Superior univ. completa (018)",6,,6
"Mujeres (020)",125,51,74
"Sin nivel (021)",18,3,15
"Primaria (023)",44,21,23
"Secundaria (024)",42,21,21
"Superior no univ. incompleta (025)",4,3,1
"Superior no univ. completa (026)",10,3,7
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",6,,6
,,,
"AREA URBANA (030)",252,73,179
"Sin nivel (031)",15,2,13
"Educación inicial (032)",1,1,
"Primaria (033)",79,15,64
"Secundaria (034)",108,39,69
"Superior no univ. incompleta (035)",10,3,7
"Superior no univ. completa (036)",27,11,16
"Superior univ. incompleta (037)",3,2,1
"Superior univ. completa (038)",9,,9
"Hombres (040)",174,52,122
"Sin nivel (041)",4,,4
"Educación inicial (042)",1,1,
"Primaria (043)",53,9,44
"Secundaria (044)",82,30,52
"Superior no univ. incompleta (045)",7,1,6
"Superior no univ. completa (046)",19,9,10
"Superior univ. incompleta (047)",3,2,1
"Superior univ. completa (048)",5,,5
"Mujeres (050)",78,21,57
"Sin nivel (051)",11,2,9
"Primaria (053)",26,6,20
"Secundaria (054)",26,9,17
"Superior no univ. incompleta (055)",3,2,1
"Superior no univ. completa (056)",8,2,6
"Superior univ. completa (058)",4,,4
,,,
"AREA RURAL (060)",181,106,75
"Sin nivel (061)",16,3,13
"Primaria (063)",73,46,27
"Secundaria (064)",74,48,26
"Superior no univ. incompleta (065)",3,2,1
"Superior no univ. completa (066)",10,7,3
"Superior univ. incompleta (067)",2,,2
"Superior univ. completa (068)",3,,3
"Hombres (070)",134,76,58
"Sin nivel (071)",9,2,7
"Primaria (073)",55,31,24
"Secundaria (074)",58,36,22
"Superior no univ. incompleta (075)",2,1,1
"Superior no univ. completa (076)",8,6,2
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",1,,1
"Mujeres (080)",47,30,17
"Sin nivel (081)",7,1,6
"Primaria (083)",18,15,3
"Secundaria (084)",16,12,4
"Superior no univ. incompleta (085)",1,1,
"Superior no univ. completa (086)",2,1,1
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",2,,2
