"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PADRE ABAD (000)",20103,16558,1358,805,1382
"Agric., ganadería, caza y silvicultura (001)",11199,10622,503,58,16
"Pesca (002)",12,11,,1,
"Explotación de minas y canteras (003)",31,6,1,4,20
"Industrias manufactureras (004)",860,609,134,82,35
"Suministro de electricidad, gas y agua (005)",15,3,,11,1
"Construcción (006)",1155,435,103,149,468
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2008,1859,117,18,14
"Venta, mant.y rep. veh.autom y motoc. (008)",289,243,33,3,10
"Comercio al por mayor (009)",99,82,8,5,4
"Comercio al por menor (010)",1620,1534,76,10,
"Hoteles y restaurantes (011)",821,752,50,6,13
"Trans., almac. y comunicaciones (012)",1073,901,90,51,31
"Intermediación financiera (013)",11,4,3,3,1
"Activid.inmobil., empres. y alquileres (014)",340,126,55,88,71
"Admin.pub. y defensa; p. segur soc.afil (015)",575,,,,575
"Enseñanza (016)",568,138,176,223,31
"Servicios sociales y de salud (017)",140,54,13,9,64
"Otras activ. serv.comun.soc y personales (018)",218,169,28,19,2
"Hogares privados con servicio doméstico (019)",365,365,,,
"Actividad economica no especificada (021)",712,504,85,83,40
"Hombres (022)",15230,12413,1033,598,1186
"Agric., ganadería, caza y silvicultura (023)",9424,8930,431,48,15
"Pesca (024)",10,9,,1,
"Explotación de minas y canteras (025)",30,6,,4,20
"Industrias manufactureras (026)",730,507,120,72,31
"Suministro de electricidad, gas y agua (027)",15,3,,11,1
"Construcción (028)",1109,424,100,137,448
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1073,975,73,11,14
"Venta, mant.y rep. veh.autom y motoc. (030)",257,219,27,1,10
"Comercio al por mayor (031)",75,60,6,5,4
"Comercio al por menor (032)",741,696,40,5,
"Hoteles y restaurantes (033)",164,138,15,2,9
"Trans., almac. y comunicaciones (034)",1015,853,85,49,28
"Intermediación financiera (035)",6,2,2,2,
"Activid.inmobil., empres. y alquileres (036)",257,78,44,72,63
"Admin.pub. y defensa; p. segur soc.afil (037)",478,,,,478
"Enseñanza (038)",275,55,88,116,16
"Servicios sociales y de salud (039)",62,21,3,5,33
"Otras activ. serv.comun.soc y personales (040)",100,71,16,11,2
"Hogares privados con servicio doméstico (041)",48,48,,,
