"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia HUANCANE",,,,,,,,,
"Viviendas particulares (001)",524,292,88,20,62,,4,4,54
"Ocupantes presentes (002)",1611,845,308,68,182,,15,12,181
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",504,280,88,19,56,,4,4,53
"Ocupantes presentes (005)",1541,803,308,63,163,,15,12,177
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",20,12,,1,6,,,,1
"Ocupantes presentes (017)",70,42,,5,19,,,,4
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",104,86,10,2,3,,,,3
"Ocupantes presentes (029)",310,241,35,2,21,,,,11
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",104,86,10,2,3,,,,3
"Ocupantes presentes (032)",310,241,35,2,21,,,,11
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",420,206,78,18,59,,4,4,51
"Ocupantes presentes (056)",1301,604,273,66,161,,15,12,170
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",400,194,78,17,53,,4,4,50
"Ocupantes presentes (059)",1231,562,273,61,142,,15,12,166
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",20,12,,1,6,,,,1
"Ocupantes presentes (071)",70,42,,5,19,,,,4
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
