"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia AIJA (000)",7445,363,938,918,700,1042,944,1631,909
"Sabe leer y escribir (001)",6402,,703,904,690,1015,911,1484,695
"No sabe leer y escribir (002)",1043,363,235,14,10,27,33,147,214
"Hombres (004)",3719,191,471,483,360,506,478,799,431
"Sabe leer y escribir (005)",3326,,360,475,357,501,466,766,401
"No sabe leer y escribir (006)",393,191,111,8,3,5,12,33,30
"Mujeres (008)",3726,172,467,435,340,536,466,832,478
"Sabe leer y escribir (009)",3076,,343,429,333,514,445,718,294
"No sabe leer y escribir (010)",650,172,124,6,7,22,21,114,184
,,,,,,,,,
"URBANA (012)",2376,95,271,255,200,317,307,572,359
"Sabe leer y escribir (013)",2147,,204,253,200,316,299,554,321
"No sabe leer y escribir (014)",229,95,67,2,,1,8,18,38
"Hombres (016)",1176,54,136,133,99,148,150,277,179
"Sabe leer y escribir (017)",1070,,101,132,99,148,145,269,176
"No sabe leer y escribir (018)",106,54,35,1,,,5,8,3
"Mujeres (020)",1200,41,135,122,101,169,157,295,180
"Sabe leer y escribir (021)",1077,,103,121,101,168,154,285,145
"No sabe leer y escribir (022)",123,41,32,1,,1,3,10,35
,,,,,,,,,
"RURAL (024)",5069,268,667,663,500,725,637,1059,550
"Sabe leer y escribir (025)",4255,,499,651,490,699,612,930,374
"No sabe leer y escribir (026)",814,268,168,12,10,26,25,129,176
"Hombres (028)",2543,137,335,350,261,358,328,522,252
"Sabe leer y escribir (029)",2256,,259,343,258,353,321,497,225
"No sabe leer y escribir (030)",287,137,76,7,3,5,7,25,27
"Mujeres (032)",2526,131,332,313,239,367,309,537,298
"Sabe leer y escribir (033)",1999,,240,308,232,346,291,433,149
"No sabe leer y escribir (034)",527,131,92,5,7,21,18,104,149
