"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia MARAÑON (000)",8605,8401,2463,929,890,758,1318,983,1060,204
"Católica (001)",5169,5025,1514,607,518,453,756,566,611,144
"Cristiana/Evangélica (002)",3190,3132,863,284,345,278,534,397,431,58
"Otra (003)",90,89,28,9,8,12,13,11,8,1
"Ninguna (004)",156,155,58,29,19,15,15,9,10,1
,,,,,,,,,,
"URBANA (006)",1387,1343,425,158,149,153,212,126,120,44
"Católica (007)",799,762,252,94,83,91,115,64,63,37
"Cristiana/Evangélica (008)",560,553,162,60,63,58,94,60,56,7
"Otra (009)",3,3,1,,1,,,1,,
"Ninguna (010)",25,25,10,4,2,4,3,1,1,
,,,,,,,,,,
"RURAL (012)",7218,7058,2038,771,741,605,1106,857,940,160
"Católica (013)",4370,4263,1262,513,435,362,641,502,548,107
"Cristiana/Evangélica (014)",2630,2579,701,224,282,220,440,337,375,51
"Otra (015)",87,86,27,9,7,12,13,10,8,1
"Ninguna (016)",131,130,48,25,17,11,12,8,9,1
