"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ABANCAY (000)",32571,9023,4845,12752,549,3147,739,1516
"Agric., ganadería, caza y silvicultura (001)",9438,52,2238,4734,191,2223,,
"Pesca (002)",11,2,,8,,1,,
"Explotación de minas y canteras (003)",134,28,86,19,1,,,
"Industrias manufactureras (004)",1170,65,278,697,54,76,,
"Suministro de electricidad, gas y agua (005)",86,60,26,,,,,
"Construcción (006)",2156,92,1544,460,27,33,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5176,628,104,3767,125,552,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",405,54,65,238,23,25,,
"Comercio al por mayor (009)",225,79,18,103,10,15,,
"Comercio al por menor (010)",4546,495,21,3426,92,512,,
"Hoteles y restaurantes (011)",1527,438,48,884,61,96,,
"Trans., almac. y comunicaciones (012)",1639,463,150,976,34,16,,
"Intermediación financiera (013)",161,158,,3,,,,
"Activid.inmobil., empres. y alquileres (014)",948,561,13,338,23,13,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1985,1748,237,,,,,
"Enseñanza (016)",3264,3094,1,161,4,4,,
"Servicios sociales y de salud (017)",1141,1063,4,70,3,1,,
"Otras activ. serv.comun.soc y personales (018)",692,330,24,311,16,11,,
"Hogares privados con servicio doméstico (019)",739,,,,,,739,
"Organiz. y organos extraterritoriales (020)",1,1,,,,,,
"Actividad economica no especificada (021)",787,240,92,324,10,121,,
"Desocupado (022)",1516,,,,,,,1516
"Hombres (023)",20761,4876,4297,8304,419,1835,51,979
"Agric., ganadería, caza y silvicultura (024)",8037,45,1972,4285,177,1558,,
"Pesca (025)",9,2,,6,,1,,
"Explotación de minas y canteras (026)",124,20,85,18,1,,,
"Industrias manufactureras (027)",887,48,227,521,45,46,,
"Suministro de electricidad, gas y agua (028)",74,49,25,,,,,
"Construcción (029)",2091,77,1504,453,26,31,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1932,349,97,1294,79,113,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",360,39,61,222,22,16,,
"Comercio al por mayor (032)",137,60,17,48,8,4,,
"Comercio al por menor (033)",1435,250,19,1024,49,93,,
"Hoteles y restaurantes (034)",328,147,13,121,28,19,,
"Trans., almac. y comunicaciones (035)",1435,324,138,936,26,11,,
"Intermediación financiera (036)",87,85,,2,,,,
"Activid.inmobil., empres. y alquileres (037)",696,396,9,264,18,9,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",1324,1186,138,,,,,
"Enseñanza (039)",1561,1486,1,70,2,2,,
"Servicios sociales y de salud (040)",422,369,1,51,1,,,
"Otras activ. serv.comun.soc y personales (041)",328,172,9,133,10,4,,
"Hogares privados con servicio doméstico (042)",51,,,,,,51,
"Actividad economica no especificada (044)",396,121,78,150,6,41,,
"Desocupado (045)",979,,,,,,,979
"Mujeres (046)",11810,4147,548,4448,130,1312,688,537
"Agric., ganadería, caza y silvicultura (047)",1401,7,266,449,14,665,,
"Pesca (048)",2,,,2,,,,
"Explotación de minas y canteras (049)",10,8,1,1,,,,
"Industrias manufactureras (050)",283,17,51,176,9,30,,
"Suministro de electricidad, gas y agua (051)",12,11,1,,,,,
"Construcción (052)",65,15,40,7,1,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",3244,279,7,2473,46,439,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",45,15,4,16,1,9,,
"Comercio al por mayor (055)",88,19,1,55,2,11,,
"Comercio al por menor (056)",3111,245,2,2402,43,419,,
"Hoteles y restaurantes (057)",1199,291,35,763,33,77,,
"Trans., almac. y comunicaciones (058)",204,139,12,40,8,5,,
"Intermediación financiera (059)",74,73,,1,,,,
"Activid.inmobil., empres. y alquileres (060)",252,165,4,74,5,4,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",661,562,99,,,,,
"Enseñanza (062)",1703,1608,,91,2,2,,
"Servicios sociales y de salud (063)",719,694,3,19,2,1,,
"Otras activ. serv.comun.soc y personales (064)",364,158,15,178,6,7,,
"Hogares privados con servicio doméstico (065)",688,,,,,,688,
"Organiz. y organos extraterritoriales (066)",1,1,,,,,,
"Actividad economica no especificada (067)",391,119,14,174,4,80,,
,,,,,,,,
"URBANA (068)",22936,8560,2787,8156,400,1161,671,1201
"Agric., ganadería, caza y silvicultura (069)",2120,41,635,999,56,389,,
"Pesca (070)",4,2,,1,,1,,
"Explotación de minas y canteras (071)",109,26,63,19,1,,,
"Industrias manufactureras (072)",1053,62,238,629,53,71,,
"Suministro de electricidad, gas y agua (073)",83,60,23,,,,,
"Construcción (074)",1773,86,1248,391,26,22,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",4785,602,100,3445,121,517,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",392,52,62,232,23,23,,
"Comercio al por mayor (077)",220,77,17,101,10,15,,
"Comercio al por menor (078)",4173,473,21,3112,88,479,,
"Hoteles y restaurantes (079)",1407,408,40,820,59,80,,
"Trans., almac. y comunicaciones (080)",1499,433,137,883,31,15,,
"Intermediación financiera (081)",161,158,,3,,,,
"Activid.inmobil., empres. y alquileres (082)",908,528,13,331,23,13,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",1899,1691,208,,,,,
"Enseñanza (084)",3100,2959,1,132,4,4,,
"Servicios sociales y de salud (085)",1055,980,4,67,3,1,,
"Otras activ. serv.comun.soc y personales (086)",657,315,23,293,16,10,,
"Hogares privados con servicio doméstico (087)",671,,,,,,671,
"Organiz. y organos extraterritoriales (088)",1,1,,,,,,
"Actividad economica no especificada (089)",450,208,54,143,7,38,,
"Desocupado (090)",1201,,,,,,,1201
"Hombres (091)",13007,4607,2431,4460,282,484,36,707
"Agric., ganadería, caza y silvicultura (092)",1718,35,539,838,48,258,,
"Pesca (093)",3,2,,,,1,,
"Explotación de minas y canteras (094)",100,19,62,18,1,,,
"Industrias manufactureras (095)",787,46,190,465,44,42,,
"Suministro de electricidad, gas y agua (096)",71,49,22,,,,,
"Construcción (097)",1712,72,1211,384,25,20,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",1835,332,93,1222,79,109,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",347,37,58,216,22,14,,
"Comercio al por mayor (100)",134,58,16,48,8,4,,
"Comercio al por menor (101)",1354,237,19,958,49,91,,
"Hoteles y restaurantes (102)",309,135,13,115,27,19,,
"Trans., almac. y comunicaciones (103)",1302,295,125,849,23,10,,
"Intermediación financiera (104)",87,85,,2,,,,
"Activid.inmobil., empres. y alquileres (105)",668,373,9,259,18,9,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",1254,1142,112,,,,,
"Enseñanza (107)",1480,1416,1,59,2,2,,
"Servicios sociales y de salud (108)",393,342,1,49,1,,,
"Otras activ. serv.comun.soc y personales (109)",312,164,9,126,10,3,,
