"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia OCROS (000)",3479,567,981,804,1127
"Asiste actualmente (001)",2276,328,949,704,295
"No asiste (002)",1203,239,32,100,832
"Hombres (004)",1816,267,506,424,619
"Asiste actualmente (005)",1161,147,489,370,155
"No asiste (006)",655,120,17,54,464
"Mujeres (008)",1663,300,475,380,508
"Asiste actualmente (009)",1115,181,460,334,140
"No asiste (010)",548,119,15,46,368
,,,,,
"URBANA (012)",1895,304,547,428,616
"Asiste actualmente (013)",1287,172,537,380,198
"No asiste (014)",608,132,10,48,418
"Hombres (016)",1006,146,297,219,344
"Asiste actualmente (017)",677,83,290,194,110
"No asiste (018)",329,63,7,25,234
"Mujeres (020)",889,158,250,209,272
"Asiste actualmente (021)",610,89,247,186,88
"No asiste (022)",279,69,3,23,184
,,,,,
"RURAL (024)",1584,263,434,376,511
"Asiste actualmente (025)",989,156,412,324,97
"No asiste (026)",595,107,22,52,414
"Hombres (028)",810,121,209,205,275
"Asiste actualmente (029)",484,64,199,176,45
"No asiste (030)",326,57,10,29,230
"Mujeres (032)",774,142,225,171,236
"Asiste actualmente (033)",505,92,213,148,52
"No asiste (034)",269,50,12,23,184
