"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia REQUENA (000)",65692,2076,25933,16901,10775,7335,2672
"Hombres (001)",34416,1065,13298,8565,5747,4160,1581
"Mujeres (002)",31276,1011,12635,8336,5028,3175,1091
"Viviendas particulares (003)",64780,2064,25786,16602,10481,7198,2649
"Hombres (004)",33818,1059,13219,8380,5533,4061,1566
"Mujeres (005)",30962,1005,12567,8222,4948,3137,1083
"Viviendas colectivas (006)",338,2,31,140,122,35,8
"Hombres (007)",236,,17,95,92,29,3
"Mujeres (008)",102,2,14,45,30,6,5
"Otro tipo (009)",574,10,116,159,172,102,15
"Hombres (010)",362,6,62,90,122,70,12
"Mujeres (011)",212,4,54,69,50,32,3
,,,,,,,
"URBANA (012)",37559,1022,14256,10083,6386,4304,1508
"Hombres (013)",19406,533,7331,5052,3238,2396,856
"Mujeres (014)",18153,489,6925,5031,3148,1908,652
"Viviendas particulares (015)",36704,1010,14112,9808,6109,4177,1488
"Hombres (016)",18848,527,7255,4882,3037,2303,844
"Mujeres (017)",17856,483,6857,4926,3072,1874,644
"Viviendas colectivas (018)",323,2,30,135,115,33,8
"Hombres (019)",226,,16,93,86,28,3
"Mujeres (020)",97,2,14,42,29,5,5
"Otro tipo (021)",532,10,114,140,162,94,12
"Hombres (022)",332,6,60,77,115,65,9
"Mujeres (023)",200,4,54,63,47,29,3
,,,,,,,
"RURAL (024)",28133,1054,11677,6818,4389,3031,1164
"Hombres (025)",15010,532,5967,3513,2509,1764,725
"Mujeres (026)",13123,522,5710,3305,1880,1267,439
"Viviendas particulares (027)",28076,1054,11674,6794,4372,3021,1161
"Hombres (028)",14970,532,5964,3498,2496,1758,722
"Mujeres (029)",13106,522,5710,3296,1876,1263,439
"Viviendas colectivas (030)",15,,1,5,7,2,
"Hombres (031)",10,,1,2,6,1,
"Mujeres (032)",5,,,3,1,1,
"Otro tipo (033)",42,,2,19,10,8,3
"Hombres (034)",30,,2,13,7,5,3
"Mujeres (035)",12,,,6,3,3,
