"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PISCO (000)",54145,7300,14504,13013,19328
"Asiste actualmente (001)",37892,4960,14118,12042,6772
"No asiste (002)",16253,2340,386,971,12556
"Hombres (004)",27971,3743,7513,6626,10089
"Asiste actualmente (005)",19564,2554,7297,6104,3609
"No asiste (006)",8407,1189,216,522,6480
"Mujeres (008)",26174,3557,6991,6387,9239
"Asiste actualmente (009)",18328,2406,6821,5938,3163
"No asiste (010)",7846,1151,170,449,6076
,,,,,
"URBANA (012)",47267,6367,12705,11372,16823
"Asiste actualmente (013)",33302,4380,12359,10543,6020
"No asiste (014)",13965,1987,346,829,10803
"Hombres (016)",24279,3253,6596,5761,8669
"Asiste actualmente (017)",17115,2238,6398,5334,3145
"No asiste (018)",7164,1015,198,427,5524
"Mujeres (020)",22988,3114,6109,5611,8154
"Asiste actualmente (021)",16187,2142,5961,5209,2875
"No asiste (022)",6801,972,148,402,5279
,,,,,
"RURAL (024)",6878,933,1799,1641,2505
"Asiste actualmente (025)",4590,580,1759,1499,752
"No asiste (026)",2288,353,40,142,1753
"Hombres (028)",3692,490,917,865,1420
"Asiste actualmente (029)",2449,316,899,770,464
"No asiste (030)",1243,174,18,95,956
"Mujeres (032)",3186,443,882,776,1085
"Asiste actualmente (033)",2141,264,860,729,288
"No asiste (034)",1045,179,22,47,797
