"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CALCA (000)",21690,490,6794,7469,5349,1588
"Agric., ganadería, caza y silvicultura (001)",12243,294,3375,3949,3405,1220
"Pesca (002)",7,1,2,2,1,1
"Explotación de minas y canteras (003)",38,,21,11,6,
"Industrias manufactureras (004)",1318,37,582,435,222,42
"Suministro de electricidad, gas y agua (005)",16,,6,6,4,
"Construcción (006)",1114,11,421,471,191,20
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2241,50,691,834,534,132
"Venta, mant.y rep. veh.autom.y motoc. (008)",133,3,67,34,24,5
"Comercio al por mayor (009)",62,,26,21,14,1
"Comercio al por menor (010)",2046,47,598,779,496,126
"Hoteles y restaurantes (011)",794,16,309,238,186,45
"Trans., almac. y comunicaciones (012)",927,11,394,337,173,12
"Intermediación financiera (013)",6,,4,1,1,
"Activid.inmobil., empres. y alquileres (014)",301,1,106,121,63,10
"Admin.pub. y defensa; p. segur.soc.afil (015)",400,,122,168,103,7
"Enseñanza (016)",880,,207,465,200,8
"Servicios sociales y de salud (017)",171,1,66,71,30,3
"Otras activ. serv.comun.soc y personales (018)",264,4,95,100,54,11
"Hogares privados con servicio doméstico (019)",292,60,152,46,23,11
"Actividad economica no especificada (021)",678,4,241,214,153,66
"Hombres (022)",15041,294,4642,5213,3738,1154
"Agric., ganadería, caza y silvicultura (023)",9714,195,2650,3220,2669,980
"Pesca (024)",7,1,2,2,1,1
"Explotación de minas y canteras (025)",38,,21,11,6,
"Industrias manufactureras (026)",766,21,337,253,127,28
"Suministro de electricidad, gas y agua (027)",15,,6,5,4,
"Construcción (028)",1075,9,405,457,184,20
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",840,28,301,282,184,45
"Venta, mant.y rep. veh.autom.y motoc. (030)",129,3,65,33,23,5
"Comercio al por mayor (031)",36,,18,12,6,
"Comercio al por menor (032)",675,25,218,237,155,40
"Hoteles y restaurantes (033)",159,3,93,34,24,5
"Trans., almac. y comunicaciones (034)",856,11,345,324,165,11
"Intermediación financiera (035)",4,,3,,1,
"Activid.inmobil., empres. y alquileres (036)",220,1,74,80,55,10
"Admin.pub. y defensa; p. segur.soc.afil (037)",340,,98,144,91,7
"Enseñanza (038)",393,,80,206,102,5
"Servicios sociales y de salud (039)",56,1,13,26,15,1
"Otras activ. serv.comun.soc y personales (040)",159,2,58,54,37,8
