"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia OXAPAMPA (000)",79447,1843,28448,21119,14875,9771,3391
"Jefe o Jefa (001)",19549,,57,4103,7478,5835,2076
"Esposa(o) / compañera(o) (002)",12758,,42,4080,5142,2906,588
"Hijo(a) / hijastro(a) (003)",35059,1333,23204,9209,1117,193,3
"Yerno / nuera (004)",912,,11,665,204,31,1
"Nieto(a) (005)",3746,376,2909,440,20,1,
"Padres / suegros (006)",758,,,,23,257,478
"Otro(a) pariente (007)",4869,116,1953,1691,534,373,202
"Trabajador(a) del hogar (008)",332,,28,232,36,32,4
"Pensionistas (009)",181,,21,101,41,17,1
"Otro(a) no pariente (010)",1283,18,223,598,280,126,38
"Hombres (011)",41416,904,14611,10930,7636,5360,1975
"Jefe o Jefa (012)",15403,,30,3197,5957,4637,1582
"Esposa(o) / compañera(o) (013)",695,,22,191,285,145,52
"Hijo(a) / hijastro(a) (014)",18796,655,11898,5436,691,115,1
"Yerno / nuera (015)",401,,3,254,117,26,1
"Nieto(a) (016)",1993,187,1530,265,10,1,
"Padres / suegros (017)",281,,,,2,92,187
"Otro(a) pariente (018)",2721,54,1002,998,333,214,120
"Trabajador(a) del hogar (019)",155,,9,104,16,23,3
"Pensionistas (020)",124,,11,66,30,16,1
"Otro(a) no pariente (021)",847,8,106,419,195,91,28
"Mujeres (022)",38031,939,13837,10189,7239,4411,1416
"Jefe o Jefa (023)",4146,,27,906,1521,1198,494
"Esposa(o) / compañera(o) (024)",12063,,20,3889,4857,2761,536
"Hijo(a) / hijastro(a) (025)",16263,678,11306,3773,426,78,2
"Yerno / nuera (026)",511,,8,411,87,5,
"Nieto(a) (027)",1753,189,1379,175,10,,
"Padres / suegros (028)",477,,,,21,165,291
"Otro(a) pariente (029)",2148,62,951,693,201,159,82
"Trabajador(a) del hogar (030)",177,,19,128,20,9,1
"Pensionistas (031)",57,,10,35,11,1,
"Otro(a) no pariente (032)",436,10,117,179,85,35,10
,,,,,,,
"URBANA (033)",28409,537,9103,7644,6008,3891,1226
"Jefe o Jefa (034)",7382,,32,1269,2972,2376,733
"Esposa(o) / compañera(o) (035)",4436,,10,1088,2020,1105,213
"Hijo(a) / hijastro(a) (036)",11769,358,7134,3696,496,85,
"Yerno / nuera (037)",377,,5,254,104,13,1
"Nieto(a) (038)",1443,137,1113,181,11,1,
"Padres / suegros (039)",308,,,,6,98,204
"Otro(a) pariente (040)",1838,34,680,705,223,137,59
"Trabajador(a) del hogar (041)",176,,14,127,18,15,2
"Pensionistas (042)",80,,6,47,20,7,
"Otro(a) no pariente (043)",600,8,109,277,138,54,14
"Hombres (044)",14126,257,4586,3709,2830,2049,695
"Jefe o Jefa (045)",5253,,15,838,2113,1752,535
"Esposa(o) / compañera(o) (046)",355,,6,81,161,80,27
"Hijo(a) / hijastro(a) (047)",6091,175,3604,1996,269,47,
"Yerno / nuera (048)",157,,2,89,54,11,1
"Nieto(a) (049)",746,59,575,105,6,1,
"Padres / suegros (050)",123,,,,1,37,85
"Otro(a) pariente (051)",970,19,330,382,131,72,36
"Trabajador(a) del hogar (052)",54,,2,38,6,7,1
"Pensionistas (053)",49,,2,27,13,7,
"Otro(a) no pariente (054)",328,4,50,153,76,35,10
"Mujeres (055)",14283,280,4517,3935,3178,1842,531
"Jefe o Jefa (056)",2129,,17,431,859,624,198
"Esposa(o) / compañera(o) (057)",4081,,4,1007,1859,1025,186
"Hijo(a) / hijastro(a) (058)",5678,183,3530,1700,227,38,
"Yerno / nuera (059)",220,,3,165,50,2,
"Nieto(a) (060)",697,78,538,76,5,,
"Padres / suegros (061)",185,,,,5,61,119
"Otro(a) pariente (062)",868,15,350,323,92,65,23
"Trabajador(a) del hogar (063)",122,,12,89,12,8,1
"Pensionistas (064)",31,,4,20,7,,
"Otro(a) no pariente (065)",272,4,59,124,62,19,4
,,,,,,,
"RURAL (066)",51038,1306,19345,13475,8867,5880,2165
"Jefe o Jefa (067)",12167,,25,2834,4506,3459,1343
"Esposa(o) / compañera(o) (068)",8322,,32,2992,3122,1801,375
"Hijo(a) / hijastro(a) (069)",23290,975,16070,5513,621,108,3
"Yerno / nuera (070)",535,,6,411,100,18,
"Nieto(a) (071)",2303,239,1796,259,9,,
"Padres / suegros (072)",450,,,,17,159,274
"Otro(a) pariente (073)",3031,82,1273,986,311,236,143
"Trabajador(a) del hogar (074)",156,,14,105,18,17,2
"Pensionistas (075)",101,,15,54,21,10,1
"Otro(a) no pariente (076)",683,10,114,321,142,72,24
"Hombres (077)",27290,647,10025,7221,4806,3311,1280
"Jefe o Jefa (078)",10150,,15,2359,3844,2885,1047
"Esposa(o) / compañera(o) (079)",340,,16,110,124,65,25
"Hijo(a) / hijastro(a) (080)",12705,480,8294,3440,422,68,1
"Yerno / nuera (081)",244,,1,165,63,15,
"Nieto(a) (082)",1247,128,955,160,4,,
"Padres / suegros (083)",158,,,,1,55,102
"Otro(a) pariente (084)",1751,35,672,616,202,142,84
"Trabajador(a) del hogar (085)",101,,7,66,10,16,2
"Pensionistas (086)",75,,9,39,17,9,1
"Otro(a) no pariente (087)",519,4,56,266,119,56,18
"Mujeres (088)",23748,659,9320,6254,4061,2569,885
"Jefe o Jefa (089)",2017,,10,475,662,574,296
"Esposa(o) / compañera(o) (090)",7982,,16,2882,2998,1736,350
"Hijo(a) / hijastro(a) (091)",10585,495,7776,2073,199,40,2
"Yerno / nuera (092)",291,,5,246,37,3,
"Nieto(a) (093)",1056,111,841,99,5,,
"Padres / suegros (094)",292,,,,16,104,172
"Otro(a) pariente (095)",1280,47,601,370,109,94,59
"Trabajador(a) del hogar (096)",55,,7,39,8,1,
