"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CONDESUYOS (000)",35,28,7
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",11,10,1
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",15,10,5
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",5,4,1
