"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia AYMARAES (000)",12531,2019,4125,3453,2934
"Asiste actualmente (001)",9110,912,3937,3252,1009
"No asiste (002)",3421,1107,188,201,1925
"Hombres (004)",6506,1002,2133,1800,1571
"Asiste actualmente (005)",4775,447,2040,1710,578
"No asiste (006)",1731,555,93,90,993
"Mujeres (008)",6025,1017,1992,1653,1363
"Asiste actualmente (009)",4335,465,1897,1542,431
"No asiste (010)",1690,552,95,111,932
,,,,,
"URBANA (012)",5511,866,1799,1593,1253
"Asiste actualmente (013)",4267,470,1746,1529,522
"No asiste (014)",1244,396,53,64,731
"Hombres (016)",2829,433,925,841,630
"Asiste actualmente (017)",2223,236,900,811,276
"No asiste (018)",606,197,25,30,354
"Mujeres (020)",2682,433,874,752,623
"Asiste actualmente (021)",2044,234,846,718,246
"No asiste (022)",638,199,28,34,377
,,,,,
"RURAL (024)",7020,1153,2326,1860,1681
"Asiste actualmente (025)",4843,442,2191,1723,487
"No asiste (026)",2177,711,135,137,1194
"Hombres (028)",3677,569,1208,959,941
"Asiste actualmente (029)",2552,211,1140,899,302
"No asiste (030)",1125,358,68,60,639
"Mujeres (032)",3343,584,1118,901,740
"Asiste actualmente (033)",2291,231,1051,824,185
"No asiste (034)",1052,353,67,77,555
