"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia MAYNAS (000)",177995,170636,53542,25618,24090,19021,23258,12393,12714,7359
"Católica (001)",135168,129306,40690,20070,18806,14606,17339,8883,8912,5862
"Cristiana/Evangélica (002)",32950,31881,9591,4073,3969,3355,4747,2903,3243,1069
"Otra (003)",6534,6252,2050,854,854,738,854,460,442,282
"Ninguna (004)",3343,3197,1211,621,461,322,318,147,117,146
,,,,,,,,,,
"URBANA (006)",149107,142421,45915,22484,21251,16513,19047,9318,7893,6686
"Católica (007)",112861,107564,34697,17581,16639,12657,14137,6538,5315,5297
"Cristiana/Evangélica (008)",27099,26130,8144,3510,3383,2864,3849,2253,2127,969
"Otra (009)",6158,5878,1944,825,808,710,797,414,380,280
"Ninguna (010)",2989,2849,1130,568,421,282,264,113,71,140
,,,,,,,,,,
"RURAL (012)",28888,28215,7627,3134,2839,2508,4211,3075,4821,673
"Católica (013)",22307,21742,5993,2489,2167,1949,3202,2345,3597,565
"Cristiana/Evangélica (014)",5851,5751,1447,563,586,491,898,650,1116,100
"Otra (015)",376,374,106,29,46,28,57,46,62,2
"Ninguna (016)",354,348,81,53,40,40,54,34,46,6
