"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TARATA (000)",4048,3247,246,216,339
"Agric., ganadería, caza y silvicultura (001)",2684,2556,114,13,1
"Pesca (002)",3,3,,,
"Explotación de minas y canteras (003)",3,,,,3
"Industrias manufactureras (004)",59,47,7,1,4
"Suministro de electricidad, gas y agua (005)",22,1,3,17,1
"Construcción (006)",242,74,50,97,21
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",261,251,6,2,2
"Venta, mant.y rep. veh.autom y motoc. (008)",23,20,1,,2
"Comercio al por mayor (009)",4,4,,,
"Comercio al por menor (010)",234,227,5,2,
"Hoteles y restaurantes (011)",99,89,8,2,
"Trans., almac. y comunicaciones (012)",86,71,8,7,
"Intermediación financiera (013)",1,,,,1
"Activid.inmobil., empres. y alquileres (014)",44,24,8,7,5
"Admin.pub. y defensa; p. segur soc.afil (015)",226,,,,226
"Enseñanza (016)",170,43,33,64,30
"Servicios sociales y de salud (017)",54,9,1,,44
"Otras activ. serv.comun.soc y personales (018)",22,16,6,,
"Hogares privados con servicio doméstico (019)",26,26,,,
"Actividad economica no especificada (021)",46,37,2,6,1
"Hombres (022)",2332,1809,155,149,219
"Agric., ganadería, caza y silvicultura (023)",1544,1467,71,5,1
"Pesca (024)",3,3,,,
"Explotación de minas y canteras (025)",3,,,,3
"Industrias manufactureras (026)",43,34,5,,4
"Suministro de electricidad, gas y agua (027)",8,1,3,3,1
"Construcción (028)",220,73,43,86,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",97,92,1,2,2
"Venta, mant.y rep. veh.autom y motoc. (030)",21,18,1,,2
"Comercio al por mayor (031)",1,1,,,
"Comercio al por menor (032)",75,73,,2,
"Hoteles y restaurantes (033)",13,11,1,1,
"Trans., almac. y comunicaciones (034)",78,65,6,7,
"Activid.inmobil., empres. y alquileres (036)",31,18,5,6,2
"Admin.pub. y defensa; p. segur soc.afil (037)",162,,,,162
"Enseñanza (038)",75,13,15,34,13
"Servicios sociales y de salud (039)",18,5,,,13
"Otras activ. serv.comun.soc y personales (040)",13,9,4,,
"Hogares privados con servicio doméstico (041)",3,3,,,
"Actividad economica no especificada (043)",21,15,1,5,
"Mujeres (044)",1716,1438,91,67,120
"Agric., ganadería, caza y silvicultura (045)",1140,1089,43,8,
