"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUARI (000)",58721,12249,6279,1729,39325
"Quechua (001)",45830,9957,2339,617,33068
"Aymara (002)",59,6,14,6,37
"Asháninka (003)",6,2,,1,3
"Otra lengua nativa (004)",32,4,15,1,12
"Castellano (005)",12619,2269,3910,1102,6044
"Idioma Extranjero (006)",9,,,1,8
"Es Sordomudo/a (007)",166,11,1,1,153
"Hombres (009)",30161,5966,4188,1376,19453
"Quechua (010)",22594,4795,1438,428,16077
"Aymara (011)",31,3,12,4,15
"Asháninka (012)",4,1,,1,2
"Otra lengua nativa (013)",17,2,8,1,6
"Castellano (014)",7424,1157,2729,940,3273
"Idioma Extranjero (015)",7,,,1,6
"Es Sordomudo/a (016)",84,8,1,1,74
"Mujeres (018)",28560,6283,2091,353,19872
"Quechua (019)",23236,5162,901,189,16991
"Aymara (020)",28,3,2,2,22
"Asháninka (021)",2,1,,,1
"Otra lengua nativa (022)",15,2,7,,6
"Castellano (023)",5195,1112,1181,162,2771
"Idioma Extranjero (024)",2,,,,2
"Es Sordomudo/a (025)",82,3,,,79
,,,,,
"URBANA (027)",20992,3890,3428,611,13092
"Quechua (028)",12975,2569,1344,269,8804
"Aymara (029)",20,2,3,2,14
"Asháninka (030)",3,2,,1,
"Otra lengua nativa (031)",26,4,15,1,6
"Castellano (032)",7924,1313,2065,336,4227
"Idioma Extranjero (033)",9,,,1,8
"Es Sordomudo/a (034)",35,,1,1,33
"Hombres (036)",10585,1918,1725,391,6569
"Quechua (037)",6377,1261,689,168,4266
"Aymara (038)",8,,2,,6
"Asháninka (039)",2,1,,1,
"Otra lengua nativa (040)",15,2,8,1,4
"Castellano (041)",4156,654,1025,219,2269
"Idioma Extranjero (042)",7,,,1,6
"Es Sordomudo/a (043)",20,,1,1,18
"Mujeres (045)",10407,1972,1703,220,6523
"Quechua (046)",6598,1308,655,101,4538
"Aymara (047)",12,2,1,2,8
"Asháninka (048)",1,1,,,
"Otra lengua nativa (049)",11,2,7,,2
"Castellano (050)",3768,659,1040,117,1958
"Idioma Extranjero (051)",2,,,,2
"Es Sordomudo/a (052)",15,,,,15
,,,,,
"RURAL (054)",37729,8359,2851,1118,26233
"Quechua (055)",32855,7388,995,348,24264
"Aymara (056)",39,4,11,4,23
"Asháninka (057)",3,,,,3
"Otra lengua nativa (058)",6,,,,6
"Castellano (059)",4695,956,1845,766,1817
"Es Sordomudo/a (061)",131,11,,,120
"Hombres (063)",19576,4048,2463,985,12884
"Quechua (064)",16217,3534,749,260,11811
"Aymara (065)",23,3,10,4,9
"Asháninka (066)",2,,,,2
"Otra lengua nativa (067)",2,,,,2
"Castellano (068)",3268,503,1704,721,1004
"Es Sordomudo/a (070)",64,8,,,56
"Mujeres (072)",18153,4311,388,133,13349
"Quechua (073)",16638,3854,246,88,12453
"Aymara (074)",16,1,1,,14
"Asháninka (075)",1,,,,1
"Otra lengua nativa (076)",4,,,,4
"Castellano (077)",1427,453,141,45,813
"Es Sordomudo/a (079)",67,3,,,64
