"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia ANTONIO RAYMONDI",,,,,,,,,
"Viviendas particulares (001)",581,272,137,48,53,12,2,,57
"Ocupantes presentes (002)",2493,1219,587,213,217,48,11,,198
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",581,272,137,48,53,12,2,,57
"Ocupantes presentes (005)",2493,1219,587,213,217,48,11,,198
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",170,106,30,9,18,3,,,4
"Ocupantes presentes (029)",664,449,96,39,61,9,,,10
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",170,106,30,9,18,3,,,4
"Ocupantes presentes (032)",664,449,96,39,61,9,,,10
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",411,166,107,39,35,9,2,,53
"Ocupantes presentes (056)",1829,770,491,174,156,39,11,,188
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",411,166,107,39,35,9,2,,53
"Ocupantes presentes (059)",1829,770,491,174,156,39,11,,188
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
