"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia JUNIN (000)",8792,6557,2235
"Red pública dentro de la vivienda (001)",191,175,16
"Red pública fuera de la vivienda (002)",41,35,6
"Pilón de uso público (003)",17,14,3
"Camión - cisterna u otro similar (004)",6,5,1
"Pozo (005)",356,219,137
"Río, acequia, manatial o similar (006)",7809,5863,1946
"Vecino (007)",166,106,60
"Otro (008)",206,140,66
,,,
"URBANA (010)",5879,5055,824
"Red pública dentro de la vivienda (011)",133,121,12
"Red pública fuera de la vivienda (012)",36,31,5
"Pilón de uso público (013)",5,4,1
"Camión - cisterna u otro similar (014)",4,4,
"Pozo (015)",30,26,4
"Río, acequia, manatial o similar (016)",5347,4649,698
"Vecino (017)",155,101,54
"Otro (018)",169,119,50
,,,
"RURAL (020)",2913,1502,1411
"Red pública dentro de la vivienda (021)",58,54,4
"Red pública fuera de la vivienda (022)",5,4,1
"Pilón de uso público (023)",12,10,2
"Camión - cisterna u otro similar (024)",2,1,1
"Pozo (025)",326,193,133
"Río, acequia, manatial o similar (026)",2462,1214,1248
"Vecino (027)",11,5,6
"Otro (028)",37,21,16
