"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia VICTOR FAJARDO (000)",8327,6296,890,544,597
"Hombres (001)",5569,4039,659,441,430
"Mujeres (002)",2758,2257,231,103,167
"De 06 a 14 años (003)",249,215,20,13,1
"Hombres (004)",148,131,9,7,1
"Mujeres (005)",101,84,11,6,
"De 15 a 29 años (006)",1989,1377,240,175,197
"Hombres (007)",1336,887,189,137,123
"Mujeres (008)",653,490,51,38,74
"De 30 a 44 años (009)",2715,1858,355,233,269
"Hombres (010)",1901,1253,264,194,190
"Mujeres (011)",814,605,91,39,79
"De 45 a 64 años (012)",2241,1779,223,114,125
"Hombres (013)",1433,1065,158,98,112
"Mujeres (014)",808,714,65,16,13
"De 65 y más años (015)",1133,1067,52,9,5
"Hombres (016)",751,703,39,5,4
"Mujeres (017)",382,364,13,4,1
,,,,,
"URBANA (018)",6511,4738,792,462,519
"Hombres (019)",4254,2926,579,380,369
"Mujeres (020)",2257,1812,213,82,150
"De 06 a 14 años (021)",212,180,20,11,1
"Hombres (022)",120,104,9,6,1
"Mujeres (023)",92,76,11,5,
"De 15 a 29 años (024)",1584,1070,210,135,169
"Hombres (025)",1044,669,164,109,102
"Mujeres (026)",540,401,46,26,67
"De 30 a 44 años (027)",2201,1436,320,213,232
"Hombres (028)",1501,927,236,176,162
"Mujeres (029)",700,509,84,37,70
"De 45 a 64 años (030)",1748,1340,197,97,114
"Hombres (031)",1092,768,138,85,101
"Mujeres (032)",656,572,59,12,13
"De 65 y más años (033)",766,712,45,6,3
"Hombres (034)",497,458,32,4,3
"Mujeres (035)",269,254,13,2,
,,,,,
"RURAL (036)",1816,1558,98,82,78
"Hombres (037)",1315,1113,80,61,61
"Mujeres (038)",501,445,18,21,17
"De 06 a 14 años (039)",37,35,,2,
"Hombres (040)",28,27,,1,
"Mujeres (041)",9,8,,1,
"De 15 a 29 años (042)",405,307,30,40,28
"Hombres (043)",292,218,25,28,21
"Mujeres (044)",113,89,5,12,7
"De 30 a 44 años (045)",514,422,35,20,37
"Hombres (046)",400,326,28,18,28
"Mujeres (047)",114,96,7,2,9
"De 45 a 64 años (048)",493,439,26,17,11
"Hombres (049)",341,297,20,13,11
"Mujeres (050)",152,142,6,4,
"De 65 y más años (051)",367,355,7,3,2
"Hombres (052)",254,245,7,1,1
"Mujeres (053)",113,110,,2,1
