"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia SAN IGNACIO",,,,,,,,,
"Viviendas particulares (001)",1695,967,269,146,95,12,3,2,201
"Ocupantes presentes (002)",7543,4170,1226,687,443,52,10,4,951
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",1664,937,268,146,95,12,3,2,201
"Ocupantes presentes (005)",7434,4064,1223,687,443,52,10,4,951
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",14,13,1,,,,,,
"Ocupantes presentes (011)",43,40,3,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",17,17,,,,,,,
"Ocupantes presentes (014)",66,66,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",298,233,43,7,5,6,,,4
"Ocupantes presentes (029)",1140,876,165,29,30,25,,,15
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",267,203,42,7,5,6,,,4
"Ocupantes presentes (032)",1031,770,162,29,30,25,,,15
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",14,13,1,,,,,,
"Ocupantes presentes (038)",43,40,3,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",17,17,,,,,,,
"Ocupantes presentes (041)",66,66,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1397,734,226,139,90,6,3,2,197
"Ocupantes presentes (056)",6403,3294,1061,658,413,27,10,4,936
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1397,734,226,139,90,6,3,2,197
"Ocupantes presentes (059)",6403,3294,1061,658,413,27,10,4,936
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
