"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PICOTA (000)",9582,288,5186,2344,574,184,90,29,2,,885
"Sin Nivel (001)",895,38,477,217,41,21,12,4,,,85
"Educación Inicial (002)",13,,7,4,,,,,,,2
"Primaria (003)",5433,205,3198,1171,239,83,55,22,1,,459
"Secundaria (004)",2622,41,1382,729,160,36,12,2,1,,259
"Sup. no Univ. Incompleta (005)",168,2,56,63,17,6,2,,,,22
"Sup. no Univ. Completa (006)",287,2,46,105,72,20,8,,,,34
"Sup. Univ. Incompleta (007)",56,,5,22,14,6,1,1,,,7
"Sup. Univ. Completa (008)",108,,15,33,31,12,,,,,17
,,,,,,,,,,,
"URBANA (010)",6275,174,3302,1554,415,136,70,21,1,,602
"Sin Nivel (011)",356,18,180,73,16,9,7,3,,,50
"Educación Inicial (012)",10,,5,3,,,,,,,2
"Primaria (013)",3307,124,1936,713,153,56,44,15,,,266
"Secundaria (014)",2041,28,1069,562,129,30,8,2,1,,212
"Sup. no Univ. Incompleta (015)",154,2,51,59,15,6,2,,,,19
"Sup. no Univ. Completa (016)",261,2,43,93,65,18,8,,,,32
"Sup. Univ. Incompleta (017)",50,,5,20,11,6,1,1,,,6
"Sup. Univ. Completa (018)",96,,13,31,26,11,,,,,15
,,,,,,,,,,,
"RURAL (020)",3307,114,1884,790,159,48,20,8,1,,283
"Sin Nivel (021)",539,20,297,144,25,12,5,1,,,35
"Educación Inicial (022)",3,,2,1,,,,,,,
"Primaria (023)",2126,81,1262,458,86,27,11,7,1,,193
"Secundaria (024)",581,13,313,167,31,6,4,,,,47
"Sup. no Univ. Incompleta (025)",14,,5,4,2,,,,,,3
"Sup. no Univ. Completa (026)",26,,3,12,7,2,,,,,2
"Sup. Univ. Incompleta (027)",6,,,2,3,,,,,,1
"Sup. Univ. Completa (028)",12,,2,2,5,1,,,,,2
