"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia JAEN (000)",64858,177317,161142,,3292,90.9,1.9
"De 12 a 14 años (001)",7152,34,33,,4,97.1,11.8
"De 15 a 19 años (002)",9502,1759,1726,429,98.1,24.4,
"De 20 a 24 años (003)",8107,7144,6975,878,97.6,12.3,
"De 25 a 29 años (004)",7088,12119,11799,746,97.4,6.2,
"De 30 a 34 años (005)",6401,16266,15783,598,97,3.7,
"De 35 a 39 años (006)",6012,20444,19529,408,95.5,2,
"De 40 a 44 años (007)",5031,21278,20089,188,94.4,0.9,
"De 45 a 49 años (008)",4083,20360,18868,41,92.7,0.2,
"De 50 y más años (009)",11482,77913,66340,,85.1,,
"PEA (010)",15305,37110,34552,526,93.1,1.4,
"De 12 a 14 años (011)",291,7,7,1,100,14.3,
"De 15 a 19 años (012)",1488,249,240,36,96.4,14.5,
"De 20 a 24 años (013)",2125,1241,1216,115,98,9.3,
"De 25 a 29 años (014)",2062,2424,2378,117,98.1,4.8,
"De 30 a 34 años (015)",2078,3952,3878,120,98.1,3,
"De 35 a 39 años (016)",1984,5485,5280,93,96.3,1.7,
"De 40 a 44 años (017)",1751,5955,5688,40,95.5,0.7,
"De 45 a 49 años (018)",1373,5520,5174,4,93.7,0.1,
"De 50 y más años (019)",2153,12277,10691,,87.1,,
"Ocupada (020)",14770,36429,33902,513,93.1,1.4,
"De 12 a 14 años (021)",261,7,7,1,100,14.3,
"De 15 a 19 años (022)",1370,233,227,33,97.4,14.2,
"De 20 a 24 años (023)",1997,1189,1166,110,98.1,9.3,
"De 25 a 29 años (024)",1973,2341,2295,116,98,5,
"De 30 a 34 años (025)",2024,3856,3784,118,98.1,3.1,
"De 35 a 39 años (026)",1943,5365,5162,91,96.2,1.7,
"De 40 a 44 años (027)",1713,5806,5543,40,95.5,0.7,
"De 45 a 49 años (028)",1357,5466,5120,4,93.7,0.1,
"De 50 y más años (029)",2132,12166,10598,,87.1,,
"Desocupada (030)",535,681,650,13,95.4,1.9,
"De 12 a 14 años (031)",30,,,,,,
"De 15 a 19 años (032)",118,16,13,3,81.3,18.8,
"De 20 a 24 años (033)",128,52,50,5,96.2,9.6,
"De 25 a 29 años (034)",89,83,83,1,100,1.2,
"De 30 a 34 años (035)",54,96,94,2,97.9,2.1,
