"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CAJATAMBO (000)",2251,33,817,779,248,82,56,19,3,,214
"Sin Nivel (001)",446,11,184,140,35,15,10,5,2,,44
"Primaria (003)",1003,13,414,347,94,24,26,5,1,,79
"Secundaria (004)",494,6,175,184,53,14,7,4,,,51
"Sup. no Univ. Incompleta (005)",47,2,6,17,10,3,2,,,,7
"Sup. no Univ. Completa (006)",82,1,15,31,15,7,2,,,,11
"Sup. Univ. Incompleta (007)",27,,3,9,5,1,2,,,,7
"Sup. Univ. Completa (008)",152,,20,51,36,18,7,5,,,15
,,,,,,,,,,,
"URBANA (010)",1433,25,506,495,171,52,40,15,2,,127
"Sin Nivel (011)",271,9,112,85,23,7,7,3,2,,23
"Primaria (013)",597,8,247,204,61,12,19,4,,,42
"Secundaria (014)",330,5,112,127,32,10,5,4,,,35
"Sup. no Univ. Incompleta (015)",41,2,6,13,10,3,2,,,,5
"Sup. no Univ. Completa (016)",64,1,13,24,12,6,1,,,,7
"Sup. Univ. Incompleta (017)",19,,3,6,4,,1,,,,5
"Sup. Univ. Completa (018)",111,,13,36,29,14,5,4,,,10
,,,,,,,,,,,
"RURAL (020)",818,8,311,284,77,30,16,4,1,,87
"Sin Nivel (021)",175,2,72,55,12,8,3,2,,,21
"Primaria (023)",406,5,167,143,33,12,7,1,1,,37
"Secundaria (024)",164,1,63,57,21,4,2,,,,16
"Sup. no Univ. Incompleta (025)",6,,,4,,,,,,,2
"Sup. no Univ. Completa (026)",18,,2,7,3,1,1,,,,4
"Sup. Univ. Incompleta (027)",8,,,3,1,1,1,,,,2
"Sup. Univ. Completa (028)",41,,7,15,7,4,2,1,,,5
