"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CANAS (000)",9084,25,458,85,135,400,4145,370,370,2862,20,214
"Agric., ganadería, caza y silvicultura (001)",6360,,2,9,1,,4143,2,7,2196,,
"Pesca (002)",4,,1,,,,2,,,1,,
"Explotación de minas y canteras (003)",19,,,,,,,10,1,8,,
"Industrias manufactureras (004)",332,,,3,,,,309,19,1,,
"Suministro de electricidad, gas y agua (005)",16,,1,2,,,,8,2,3,,
"Construcción (006)",618,,4,3,,,,9,246,356,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",396,,1,3,2,302,,29,,59,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",19,,1,,,2,,16,,,,
"Comercio al por mayor (009)",13,,,,2,10,,,,1,,
"Comercio al por menor (010)",364,,,3,,290,,13,,58,,
"Hoteles y restaurantes (011)",142,,,2,,84,,,,56,,
"Trans., almac. y comunicaciones (012)",122,,,,8,1,,1,86,26,,
"Intermediación financiera (013)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",49,,6,12,7,7,,2,2,13,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",201,23,3,7,88,4,,,6,50,20,
"Enseñanza (016)",427,2,403,6,8,,,,,8,,
"Servicios sociales y de salud (017)",60,,26,22,7,,,,,5,,
"Otras activ. serv.comun.soc y personales (018)",61,,11,15,8,2,,,1,24,,
"Hogares privados con servicio doméstico (019)",54,,,,,,,,,54,,
"Actividad economica no especificada (021)",222,,,1,5,,,,,2,,214
"Hombres (022)",5801,20,313,61,106,133,3136,321,358,1237,19,97
"Agric., ganadería, caza y silvicultura (023)",3890,,2,9,1,,3134,1,7,736,,
"Pesca (024)",4,,1,,,,2,,,1,,
"Explotación de minas y canteras (025)",19,,,,,,,10,1,8,,
"Industrias manufactureras (026)",282,,,1,,,,262,18,1,,
"Suministro de electricidad, gas y agua (027)",15,,1,2,,,,8,2,2,,
"Construcción (028)",597,,4,3,,,,9,238,343,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",170,,1,3,1,112,,28,,25,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",18,,1,,,2,,15,,,,
"Comercio al por mayor (031)",6,,,,1,4,,,,1,,
"Comercio al por menor (032)",146,,,3,,106,,13,,24,,
"Hoteles y restaurantes (033)",17,,,1,,11,,,,5,,
"Trans., almac. y comunicaciones (034)",111,,,,6,,,1,83,21,,
"Intermediación financiera (035)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",41,,4,9,7,5,,2,2,12,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",173,18,3,6,71,4,,,6,46,19,
"Enseñanza (038)",301,2,280,4,7,,,,,8,,
"Servicios sociales y de salud (039)",24,,9,9,4,,,,,2,,
"Otras activ. serv.comun.soc y personales (040)",40,,8,13,5,1,,,1,12,,
"Hogares privados con servicio doméstico (041)",13,,,,,,,,,13,,
