"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SAN ROMAN (000)",213101,9295,27483,6102,170491
"Hombres (001)",104161,4260,13446,3800,82828
"Mujeres (002)",108940,5035,14037,2302,87663
"PEA (003)",96854,2178,13512,3263,78075
"Hombres (004)",56512,1027,7578,2416,45618
"Mujeres (005)",40342,1151,5934,847,32457
"Ocupada (006)",90010,2078,13118,3141,71842
"Hombres (007)",52209,985,7393,2328,41629
"Mujeres (008)",37801,1093,5725,813,30213
"Desocupada (009)",6844,100,394,122,6233
"Hombres (010)",4303,42,185,88,3989
"Mujeres (011)",2541,58,209,34,2244
"No PEA (012)",116247,7117,13971,2839,92416
"Hombres (013)",47649,3233,5868,1384,37210
"Mujeres (014)",68598,3884,8103,1455,55206
,,,,,
"URBANA (018)",195344,7444,26576,5655,155916
"Hombres (019)",95736,3394,12962,3548,75995
"Mujeres (020)",99608,4050,13614,2107,79921
"PEA (021)",88046,1917,13064,3053,70172
"Hombres (022)",51445,911,7304,2263,41088
"Mujeres (023)",36601,1006,5760,790,29084
"Ocupada (024)",81535,1826,12680,2944,64242
"Hombres (025)",47389,872,7125,2181,37331
"Mujeres (026)",34146,954,5555,763,26911
"Desocupada (027)",6511,91,384,109,5930
"Hombres (028)",4056,39,179,82,3757
"Mujeres (029)",2455,52,205,27,2173
"No PEA (030)",107298,5527,13512,2602,85744
"Hombres (031)",44291,2483,5658,1285,34907
"Mujeres (032)",63007,3044,7854,1317,50837
,,,,,
"RURAL (036)",17757,1851,907,447,14575
"Hombres (037)",8425,866,484,252,6833
"Mujeres (038)",9332,985,423,195,7742
"PEA (039)",8808,261,448,210,7903
"Hombres (040)",5067,116,274,153,4530
"Mujeres (041)",3741,145,174,57,3373
"Ocupada (042)",8475,252,438,197,7600
"Hombres (043)",4820,113,268,147,4298
"Mujeres (044)",3655,139,170,50,3302
"Desocupada (045)",333,9,10,13,303
"Hombres (046)",247,3,6,6,232
"Mujeres (047)",86,6,4,7,71
"No PEA (048)",8949,1590,459,237,6672
"Hombres (049)",3358,750,210,99,2303
"Mujeres (050)",5591,840,249,138,4369
