"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TRUJILLO (000)",228477,209154,1009,54366,54104,38279,37958,15583,5983,1872,19323,612977
"De 12 a 14 años (001)",253,126,21,88,17,,,,,,127,122
"De 15 a 19 años (002)",4455,3812,84,3348,316,48,16,,,,643,4188
"De 20 a 24 años (003)",21813,15832,119,11481,3496,584,118,34,,,5981,20942
"De 25 a 29 años (004)",28330,23003,138,11917,7779,2414,701,42,12,,5327,37977
"De 30 a 34 años (005)",28486,25924,101,8872,9845,4780,2101,202,16,7,2562,53237
"De 35 a 39 años (006)",26652,25259,75,5407,9069,6150,3864,612,74,8,1393,63100
"De 40 a 44 años (007)",24598,23667,75,3716,7413,6003,5013,1179,223,45,931,68054
"De 45 a 49 años (008)",21372,20712,89,2796,5348,5158,5103,1714,428,76,660,66436
"De 50 y más años (009)",72518,70819,307,6741,10821,13142,21042,11800,5230,1736,1699,298921
"PEA (010)",90430,79684,450,24593,22678,14551,12106,3776,1197,333,10746,203767
"De 12 a 14 años (011)",21,12,2,8,2,,,,,,9,12
"De 15 a 19 años (012)",989,837,16,743,56,16,6,,,,152,927
"De 20 a 24 años (013)",7906,4972,59,3807,929,129,34,14,,,2934,6289
"De 25 a 29 años (014)",12633,9128,82,5460,2650,689,220,22,5,,3505,13917
"De 30 a 34 años (015)",13554,11731,54,4937,4134,1781,749,68,4,4,1823,22203
"De 35 a 39 años (016)",13210,12297,44,3263,4394,2672,1647,256,18,3,913,28898
"De 40 a 44 años (017)",12675,12110,51,2324,3994,2930,2225,477,93,16,565,32679
"De 45 a 49 años (018)",10552,10200,48,1699,2909,2501,2200,667,146,30,352,30349
