"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CAJAMARCA (000)",145111,19595,37671,34216,53629
"Asiste actualmente (001)",91418,9486,35315,27664,18953
"No asiste (002)",53693,10109,2356,6552,34676
"Hombres (004)",72456,9843,18923,17346,26344
"Asiste actualmente (005)",47747,4772,17806,14905,10264
"No asiste (006)",24709,5071,1117,2441,16080
"Mujeres (008)",72655,9752,18748,16870,27285
"Asiste actualmente (009)",43671,4714,17509,12759,8689
"No asiste (010)",28984,5038,1239,4111,18596
,,,,,
"URBANA (012)",76632,10128,18744,16584,31176
"Asiste actualmente (013)",54124,6386,18015,14894,14829
"No asiste (014)",22508,3742,729,1690,16347
"Hombres (016)",37886,5124,9366,8303,15093
"Asiste actualmente (017)",27360,3194,9015,7573,7578
"No asiste (018)",10526,1930,351,730,7515
"Mujeres (020)",38746,5004,9378,8281,16083
"Asiste actualmente (021)",26764,3192,9000,7321,7251
"No asiste (022)",11982,1812,378,960,8832
,,,,,
"RURAL (024)",68479,9467,18927,17632,22453
"Asiste actualmente (025)",37294,3100,17300,12770,4124
"No asiste (026)",31185,6367,1627,4862,18329
"Hombres (028)",34570,4719,9557,9043,11251
"Asiste actualmente (029)",20387,1578,8791,7332,2686
"No asiste (030)",14183,3141,766,1711,8565
"Mujeres (032)",33909,4748,9370,8589,11202
"Asiste actualmente (033)",16907,1522,8509,5438,1438
"No asiste (034)",17002,3226,861,3151,9764
