"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SATIPO (000)",70150,62832,3065,1451,2802
"Empleado (001)",7269,3104,1027,899,2239
"Obrero (002)",14235,12311,908,482,534
"Trabajador independiente (003)",33663,33001,662,,
"Empleador o patrono (004)",2354,2174,119,41,20
"Trabajador familiar no remunerado (005)",11571,11184,349,29,9
"Trabajador del hogar (006)",1058,1058,,,
"De 06 a 14 años (008)",1983,1831,133,18,1
"Empleado (009)",87,76,7,4,
"Obrero (010)",199,177,17,4,1
"Trabajador independiente (011)",198,190,8,,
"Trabajador familiar no remunerado (013)",1436,1325,101,10,
"Trabajador del hogar (014)",63,63,,,
"De 15 a 29 años (016)",29093,26285,1261,502,1045
"Empleado (017)",2995,1554,364,260,817
"Obrero (018)",7466,6564,463,219,220
"Trabajador independiente (019)",11112,10867,245,,
"Empleador o patrono (020)",577,536,27,10,4
"Trabajador familiar no remunerado (021)",6298,6119,162,13,4
"Trabajador del hogar (022)",645,645,,,
"De 30 a 44 años (024)",23455,20491,1119,633,1212
"Empleado (025)",2967,1049,493,438,987
"Obrero (026)",4176,3501,289,174,212
"Trabajador independiente (027)",12787,12545,242,,
"Empleador o patrono (028)",934,867,40,18,9
"Trabajador familiar no remunerado (029)",2367,2305,55,3,4
"Trabajador del hogar (030)",224,224,,,
"De 45 a 64 años (032)",13253,11946,501,279,527
"Empleado (033)",1164,399,155,187,423
"Obrero (034)",2043,1739,130,78,96
"Trabajador independiente (035)",8004,7859,145,,
"Empleador o patrono (036)",676,614,44,11,7
"Trabajador familiar no remunerado (037)",1261,1230,27,3,1
"Trabajador del hogar (038)",105,105,,,
"De 65 y más años (040)",2366,2279,51,19,17
"Empleado (041)",56,26,8,10,12
"Obrero (042)",351,330,9,7,5
"Trabajador independiente (043)",1562,1540,22,,
"Empleador o patrono (044)",167,157,8,2,
"Trabajador familiar no remunerado (045)",209,205,4,,
"Trabajador del hogar (046)",21,21,,,
,,,,,
"URBANA (048)",21200,16353,1539,1090,2218
"Empleado (049)",5411,2092,695,783,1841
"Obrero (050)",3402,2370,394,278,360
"Trabajador independiente (051)",9490,9158,332,,
"Empleador o patrono (052)",634,541,61,18,14
"Trabajador familiar no remunerado (053)",1666,1595,57,11,3
