"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAMBAYEQUE (000)",242045,74655,24210,9088,134438
"Sin Nivel (001)",32771,13909,2113,637,16136
"Educación Inicial (002)",6962,3981,739,219,2035
"Primaria (003)",104376,36808,7042,2535,58082
"Secundaria (004)",66430,16862,6801,2744,40107
"Sup. no Univ. Incompleta (005)",7558,1058,934,567,5014
"Sup. no Univ. Completa (006)",9779,972,2705,1012,5140
"Sup. Univ. Incompleta (007)",6209,546,827,585,4267
"Sup. Univ. Completa (008)",7960,519,3049,789,3657
"Hombres (010)",119979,33683,11798,5130,69574
"Sin Nivel (011)",13333,6192,967,264,5923
"Educación Inicial (012)",3597,2051,384,112,1055
"Primaria (013)",49867,16164,3285,1311,29147
"Secundaria (014)",37310,8070,3583,1610,24107
"Sup. no Univ. Incompleta (015)",3847,420,471,384,2584
"Sup. no Univ. Completa (016)",4503,334,1128,639,2431
"Sup. Univ. Incompleta (017)",3325,247,447,324,2318
"Sup. Univ. Completa (018)",4197,205,1533,486,2009
"Mujeres (020)",122066,40972,12412,3958,64864
"Sin Nivel (021)",19438,7717,1146,373,10213
"Educación Inicial (022)",3365,1930,355,107,980
"Primaria (023)",54509,20644,3757,1224,28935
"Secundaria (024)",29120,8792,3218,1134,16000
"Sup. no Univ. Incompleta (025)",3711,638,463,183,2430
"Sup. no Univ. Completa (026)",5276,638,1577,373,2709
"Sup. Univ. Incompleta (027)",2884,299,380,261,1949
"Sup. Univ. Completa (028)",3763,314,1516,303,1648
,,,,,
"URBANA (030)",117884,27430,19441,7715,63590
"Sin Nivel (031)",11317,4367,1390,476,5101
"Educación Inicial (032)",3633,1692,635,193,1123
"Primaria (033)",38063,11251,4953,1962,19959
"Secundaria (034)",37261,7663,5416,2336,21924
"Sup. no Univ. Incompleta (035)",6053,778,849,502,3937
"Sup. no Univ. Completa (036)",8451,749,2503,938,4307
"Sup. Univ. Incompleta (037)",5665,463,784,560,3872
"Sup. Univ. Completa (038)",7441,467,2911,748,3367
"Hombres (040)",56836,12034,9203,4287,31491
"Sin Nivel (041)",4796,1989,646,206,1966
"Educación Inicial (042)",1867,856,324,101,590
"Primaria (043)",17421,5046,2212,985,9208
"Secundaria (044)",19225,3252,2748,1319,11961
"Sup. no Univ. Incompleta (045)",2952,285,418,330,1929
"Sup. no Univ. Completa (046)",3736,231,998,586,1947
"Sup. Univ. Incompleta (047)",2971,197,415,304,2064
"Sup. Univ. Completa (048)",3868,178,1442,456,1826
"Mujeres (050)",61048,15396,10238,3428,32099
"Sin Nivel (051)",6521,2378,744,270,3135
"Educación Inicial (052)",1766,836,311,92,533
"Primaria (053)",20642,6205,2741,977,10751
"Secundaria (054)",18036,4411,2668,1017,9963
"Sup. no Univ. Incompleta (055)",3101,493,431,172,2008
"Sup. no Univ. Completa (056)",4715,518,1505,352,2360
"Sup. Univ. Incompleta (057)",2694,266,369,256,1808
"Sup. Univ. Completa (058)",3573,289,1469,292,1541
,,,,,
"RURAL (060)",124161,47225,4769,1373,70848
"Sin Nivel (061)",21454,9542,723,161,11035
"Educación Inicial (062)",3329,2289,104,26,912
"Primaria (063)",66313,25557,2089,573,38123
"Secundaria (064)",29169,9199,1385,408,18183
"Sup. no Univ. Incompleta (065)",1505,280,85,65,1077
"Sup. no Univ. Completa (066)",1328,223,202,74,833
"Sup. Univ. Incompleta (067)",544,83,43,25,395
"Sup. Univ. Completa (068)",519,52,138,41,290
"Hombres (070)",63143,21649,2595,843,38083
"Sin Nivel (071)",8537,4203,321,58,3957
"Educación Inicial (072)",1730,1195,60,11,465
"Primaria (073)",32446,11118,1073,326,19939
"Secundaria (074)",18085,4818,835,291,12146
"Sup. no Univ. Incompleta (075)",895,135,53,54,655
"Sup. no Univ. Completa (076)",767,103,130,53,484
"Sup. Univ. Incompleta (077)",354,50,32,20,254
"Sup. Univ. Completa (078)",329,27,91,30,183
"Mujeres (080)",61018,25576,2174,530,32765
"Sin Nivel (081)",12917,5339,402,103,7078
"Educación Inicial (082)",1599,1094,44,15,447
"Primaria (083)",33867,14439,1016,247,18184
"Secundaria (084)",11084,4381,550,117,6037
"Sup. no Univ. Incompleta (085)",610,145,32,11,422
"Sup. no Univ. Completa (086)",561,120,72,21,349
"Sup. Univ. Incompleta (087)",190,33,11,5,141
"Sup. Univ. Completa (088)",190,25,47,11,107
