"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TARMA (000)",98,89,9
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",32,31,1
"Casa pensión (003)",2,1,1
"Hospital, clinica (004)",9,9,
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",45,41,4
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",8,5,3
