"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia YAROWILCA (000)",16812,2828,5803,4432,3749
"Asiste actualmente (001)",11724,899,5382,4015,1428
"No asiste (002)",5088,1929,421,417,2321
"Hombres (004)",8353,1445,2919,2172,1817
"Asiste actualmente (005)",5995,451,2714,2000,830
"No asiste (006)",2358,994,205,172,987
"Mujeres (008)",8459,1383,2884,2260,1932
"Asiste actualmente (009)",5729,448,2668,2015,598
"No asiste (010)",2730,935,216,245,1334
,,,,,
"URBANA (012)",4006,664,1316,1029,997
"Asiste actualmente (013)",2821,251,1215,925,430
"No asiste (014)",1185,413,101,104,567
"Hombres (016)",2026,337,677,506,506
"Asiste actualmente (017)",1461,123,635,460,243
"No asiste (018)",565,214,42,46,263
"Mujeres (020)",1980,327,639,523,491
"Asiste actualmente (021)",1360,128,580,465,187
"No asiste (022)",620,199,59,58,304
,,,,,
"RURAL (024)",12806,2164,4487,3403,2752
"Asiste actualmente (025)",8903,648,4167,3090,998
"No asiste (026)",3903,1516,320,313,1754
"Hombres (028)",6327,1108,2242,1666,1311
"Asiste actualmente (029)",4534,328,2079,1540,587
"No asiste (030)",1793,780,163,126,724
"Mujeres (032)",6479,1056,2245,1737,1441
"Asiste actualmente (033)",4369,320,2088,1550,411
"No asiste (034)",2110,736,157,187,1030
