"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SATIPO (000)",41359,1316,20135,11182,2867,908,423,137,18,,4373
"Conviviente (001)",22373,865,11664,5766,1316,365,156,46,6,,2189
"Separado(a) (002)",2255,82,1086,636,193,59,19,7,1,,172
"Casado(a) (003)",11962,217,5589,3714,1059,349,179,61,6,,788
"Viudo(a) (004)",2396,97,1085,663,176,83,53,18,4,,217
"Divorciado(a) (005)",191,6,78,60,19,7,3,1,,,17
"Soltero(a) (006)",2182,49,633,343,104,45,13,4,1,,990
,,,,,,,,,,,
"URBANA (008)",12807,227,5358,3756,1260,422,196,58,7,,1523
"Conviviente (009)",5643,116,2567,1639,511,139,54,15,1,,601
"Separado(a) (010)",980,23,452,295,105,28,13,4,1,,59
"Casado(a) (011)",4226,55,1685,1382,513,189,89,32,3,,278
"Viudo(a) (012)",769,21,321,226,67,35,26,4,1,,68
"Divorciado(a) (013)",86,2,35,29,9,2,3,,,,6
"Soltero(a) (014)",1103,10,298,185,55,29,11,3,1,,511
,,,,,,,,,,,
"RURAL (016)",28552,1089,14777,7426,1607,486,227,79,11,,2850
"Conviviente (017)",16730,749,9097,4127,805,226,102,31,5,,1588
"Separado(a) (018)",1275,59,634,341,88,31,6,3,,,113
"Casado(a) (019)",7736,162,3904,2332,546,160,90,29,3,,510
"Viudo(a) (020)",1627,76,764,437,109,48,27,14,3,,149
"Divorciado(a) (021)",105,4,43,31,10,5,,1,,,11
"Soltero(a) (022)",1079,39,335,158,49,16,2,1,,,479
