"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia JAEN (000)",64858,62288,19793,8795,7901,6141,7919,4924,6815,2570
"Católica (001)",54866,52657,16742,7640,6755,5186,6545,4119,5670,2209
"Cristiana/Evangélica (002)",6417,6198,1895,707,703,597,927,564,805,219
"Otra (003)",2429,2331,747,264,277,265,322,189,267,98
"Ninguna (004)",1146,1102,409,184,166,93,125,52,73,44
,,,,,,,,,,
"URBANA (006)",35362,33663,11337,5372,4905,3593,4133,2095,2228,1699
"Católica (007)",29747,28305,9505,4677,4176,3036,3373,1736,1802,1442
"Cristiana/Evangélica (008)",3362,3207,1054,402,436,323,484,233,275,155
"Otra (009)",1605,1529,528,178,188,186,213,108,128,76
"Ninguna (010)",648,622,250,115,105,48,63,18,23,26
,,,,,,,,,,
"RURAL (012)",29496,28625,8456,3423,2996,2548,3786,2829,4587,871
"Católica (013)",25119,24352,7237,2963,2579,2150,3172,2383,3868,767
"Cristiana/Evangélica (014)",3055,2991,841,305,267,274,443,331,530,64
"Otra (015)",824,802,219,86,89,79,109,81,139,22
"Ninguna (016)",498,480,159,69,61,45,62,34,50,18
