"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia GRAU (000)",17524,3173,2494,2921,2709,2159,4068
"Católica (001)",15912,2920,2259,2674,2484,1956,3619
"Cristiana/Evangélica (002)",1258,188,166,179,177,162,386
"Otra (003)",231,47,31,43,35,28,47
"Ninguna (004)",123,18,38,25,13,13,16
"Hombres (006)",8888,1741,1275,1461,1379,1098,1934
"Católica (007)",8150,1614,1166,1361,1268,1008,1733
"Cristiana/Evangélica (008)",555,97,69,66,85,69,169
"Otra (009)",108,18,18,18,17,14,23
"Ninguna (010)",75,12,22,16,9,7,9
"Mujeres (012)",8636,1432,1219,1460,1330,1061,2134
"Católica (013)",7762,1306,1093,1313,1216,948,1886
"Cristiana/Evangélica (014)",703,91,97,113,92,93,217
"Otra (015)",123,29,13,25,18,14,24
"Ninguna (016)",48,6,16,9,4,6,7
,,,,,,,
"URBANA (018)",7120,1341,1179,1300,1125,841,1334
"Católica (019)",6408,1233,1045,1183,1040,751,1156
"Cristiana/Evangélica (020)",608,89,106,97,75,78,163
"Otra (021)",43,10,6,9,3,7,8
"Ninguna (022)",61,9,22,11,7,5,7
"Hombres (024)",3525,720,587,637,550,428,603
"Católica (025)",3201,663,528,585,509,391,525
"Cristiana/Evangélica (026)",263,46,41,42,35,30,69
"Otra (027)",22,4,5,3,1,4,5
"Ninguna (028)",39,7,13,7,5,3,4
"Mujeres (030)",3595,621,592,663,575,413,731
"Católica (031)",3207,570,517,598,531,360,631
"Cristiana/Evangélica (032)",345,43,65,55,40,48,94
"Otra (033)",21,6,1,6,2,3,3
"Ninguna (034)",22,2,9,4,2,2,3
,,,,,,,
"RURAL (036)",10404,1832,1315,1621,1584,1318,2734
"Católica (037)",9504,1687,1214,1491,1444,1205,2463
"Cristiana/Evangélica (038)",650,99,60,82,102,84,223
"Otra (039)",188,37,25,34,32,21,39
"Ninguna (040)",62,9,16,14,6,8,9
"Hombres (042)",5363,1021,688,824,829,670,1331
"Católica (043)",4949,951,638,776,759,617,1208
"Cristiana/Evangélica (044)",292,51,28,24,50,39,100
"Otra (045)",86,14,13,15,16,10,18
"Ninguna (046)",36,5,9,9,4,4,5
"Mujeres (048)",5041,811,627,797,755,648,1403
"Católica (049)",4555,736,576,715,685,588,1255
"Cristiana/Evangélica (050)",358,48,32,58,52,45,123
"Otra (051)",102,23,12,19,16,11,21
"Ninguna (052)",26,4,7,5,2,4,4
