"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHOTA (000)",2035,66,1005,581,306,77
"Sin nivel (001)",121,4,37,29,35,16
"Educación inicial (002)",1,,1,,,
"Primaria (003)",1044,52,415,299,221,57
"Secundaria (004)",560,10,369,145,32,4
"Superior no univ. incompleta (005)",29,,14,11,4,
"Superior no univ. completa (006)",145,,84,57,4,
"Superior univ. incompleta (007)",30,,25,5,,
"Superior univ. completa (008)",105,,60,35,10,
"Hombres (010)",1643,37,741,502,287,76
"Sin nivel (011)",93,3,24,20,31,15
"Educación inicial (012)",1,,1,,,
"Primaria (013)",901,30,319,281,214,57
"Secundaria (014)",460,4,292,134,26,4
"Superior no univ. incompleta (015)",19,,8,7,4,
"Superior no univ. completa (016)",91,,55,32,4,
"Superior univ. incompleta (017)",23,,19,4,,
"Superior univ. completa (018)",55,,23,24,8,
"Mujeres (020)",392,29,264,79,19,1
"Sin nivel (021)",28,1,13,9,4,1
"Primaria (023)",143,22,96,18,7,
"Secundaria (024)",100,6,77,11,6,
"Superior no univ. incompleta (025)",10,,6,4,,
"Superior no univ. completa (026)",54,,29,25,,
"Superior univ. incompleta (027)",7,,6,1,,
"Superior univ. completa (028)",50,,37,11,2,
,,,,,,
"Area Urbana (030)",560,5,278,181,79,17
"Sin nivel (031)",19,1,5,8,3,2
"Primaria (033)",142,,45,42,42,13
"Secundaria (034)",178,4,107,47,18,2
"Superior no univ. incompleta (035)",16,,6,6,4,
"Superior no univ. completa (036)",93,,47,44,2,
"Superior univ. incompleta (037)",24,,20,4,,
"Superior univ. completa (038)",88,,48,30,10,
"Hombres (040)",371,3,166,120,65,17
"Sin nivel (041)",8,1,1,3,1,2
"Primaria (043)",115,,32,33,37,13
"Secundaria (044)",125,2,71,37,13,2
"Superior no univ. incompleta (045)",11,,4,3,4,
"Superior no univ. completa (046)",48,,25,21,2,
"Superior univ. incompleta (047)",19,,16,3,,
"Superior univ. completa (048)",45,,17,20,8,
"Mujeres (050)",189,2,112,61,14,
"Sin nivel (051)",11,,4,5,2,
"Primaria (053)",27,,13,9,5,
"Secundaria (054)",53,2,36,10,5,
"Superior no univ. incompleta (055)",5,,2,3,,
"Superior no univ. completa (056)",45,,22,23,,
"Superior univ. incompleta (057)",5,,4,1,,
"Superior univ. completa (058)",43,,31,10,2,
,,,,,,
"Area Rural (060)",1475,61,727,400,227,60
"Sin nivel (061)",102,3,32,21,32,14
"Educación inicial (062)",1,,1,,,
"Primaria (063)",902,52,370,257,179,44
"Secundaria (064)",382,6,262,98,14,2
"Superior no univ. incompleta (065)",13,,8,5,,
"Superior no univ. completa (066)",52,,37,13,2,
"Superior univ. incompleta (067)",6,,5,1,,
"Superior univ. completa (068)",17,,12,5,,
"Hombres (070)",1272,34,575,382,222,59
"Sin nivel (071)",85,2,23,17,30,13
"Educación inicial (072)",1,,1,,,
"Primaria (073)",786,30,287,248,177,44
"Secundaria (074)",335,2,221,97,13,2
"Superior no univ. incompleta (075)",8,,4,4,,
"Superior no univ. completa (076)",43,,30,11,2,
"Superior univ. incompleta (077)",4,,3,1,,
"Superior univ. completa (078)",10,,6,4,,
"Mujeres (080)",203,27,152,18,5,1
"Sin nivel (081)",17,1,9,4,2,1
"Primaria (083)",116,22,83,9,2,
"Secundaria (084)",47,4,41,1,1,
"Superior no univ. incompleta (085)",5,,4,1,,
"Superior no univ. completa (086)",9,,7,2,,
"Superior univ. incompleta (087)",2,,2,,,
"Superior univ. completa (088)",7,,6,1,,
