"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia PALPA",,,,,,
"Viviendas particulares (001)",3457,3370,80,6,1,
"Ocupantes presentes (002)",12783,12083,633,52,15,
"Casa independiente",,,,,,
"Viviendas particulares (004)",3301,3214,80,6,1,
"Ocupantes presentes (005)",12289,11589,633,52,15,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",5,5,,,,
"Ocupantes presentes (008)",17,17,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",13,13,,,,
"Ocupantes presentes (011)",51,51,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",26,26,,,,
"Ocupantes presentes (014)",85,85,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",87,87,,,,
"Ocupantes presentes (017)",263,263,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",9,9,,,,
"Ocupantes presentes (020)",32,32,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",4,4,,,,
"Ocupantes presentes (023)",9,9,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",12,12,,,,
"Ocupantes presentes (026)",37,37,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",2192,2122,63,6,1,
"Ocupantes presentes (029)",8397,7819,511,52,15,
"Casa independiente",,,,,,
"Viviendas particulares (031)",2125,2055,63,6,1,
"Ocupantes presentes (032)",8170,7592,511,52,15,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",5,5,,,,
"Ocupantes presentes (035)",17,17,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",13,13,,,,
"Ocupantes presentes (038)",51,51,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",26,26,,,,
"Ocupantes presentes (041)",85,85,,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",9,9,,,,
"Ocupantes presentes (047)",32,32,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",2,2,,,,
"Ocupantes presentes (050)",5,5,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",12,12,,,,
"Ocupantes presentes (053)",37,37,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",1265,1248,17,,,
"Ocupantes presentes (056)",4386,4264,122,,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",1176,1159,17,,,
"Ocupantes presentes (059)",4119,3997,122,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",87,87,,,,
"Ocupantes presentes (071)",263,263,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",2,2,,,,
"Ocupantes presentes (077)",4,4,,,,
"Otro tipo",,,,,,
