"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LIMA (000)",2272815,15111,518019,661366,371276,164778,67223,17318,2337,,455387
"Catolica (001)",1899791,11836,419031,550379,318254,143056,58133,14786,1996,,382320
"Cristiana / Evangelica (002)",259932,2415,72000,78691,36696,14736,6328,1824,236,,47006
"Otra (003)",71753,516,16541,21407,11215,4856,1951,532,78,,14657
"Ninguna (004)",41339,344,10447,10889,5111,2130,811,176,27,,11404
,,,,,,,,,,,
"URBANA (006)",2270289,15073,517009,660644,371022,164694,67187,17309,2337,,455014
"Catolica (007)",1897742,11805,418234,549791,318039,142986,58103,14781,1996,,382007
"Cristiana / Evangelica (008)",259546,2409,71815,78585,36670,14728,6323,1821,236,,46959
"Otra (009)",71705,515,16531,21392,11207,4851,1950,531,78,,14650
"Ninguna (010)",41296,344,10429,10876,5106,2129,811,176,27,,11398
,,,,,,,,,,,
"RURAL (012)",2526,38,1010,722,254,84,36,9,,,373
"Catolica (013)",2049,31,797,588,215,70,30,5,,,313
"Cristiana / Evangelica (014)",386,6,185,106,26,8,5,3,,,47
"Otra (015)",48,1,10,15,8,5,1,1,,,7
"Ninguna (016)",43,,18,13,5,1,,,,,6
