"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JULCAN (000)",7873,7484,200,97,92
"Hombres (001)",6988,6693,157,73,65
"Mujeres (002)",885,791,43,24,27
"De 06 a 14 años (003)",175,170,5,,
"Hombres (004)",160,155,5,,
"Mujeres (005)",15,15,,,
"De 15 a 29 años (006)",2594,2466,69,26,33
"Hombres (007)",2291,2199,52,20,20
"Mujeres (008)",303,267,17,6,13
"De 30 a 44 años (009)",2569,2407,76,41,45
"Hombres (010)",2245,2128,59,26,32
"Mujeres (011)",324,279,17,15,13
"De 45 a 64 años (012)",1786,1704,42,26,14
"Hombres (013)",1597,1528,33,23,13
"Mujeres (014)",189,176,9,3,1
"De 65 y más años (015)",749,737,8,4,
"Hombres (016)",695,683,8,4,
"Mujeres (017)",54,54,,,
,,,,,
"URBANA (018)",1164,961,79,57,67
"Hombres (019)",848,710,51,41,46
"Mujeres (020)",316,251,28,16,21
"De 06 a 14 años (021)",28,27,1,,
"Hombres (022)",22,21,1,,
"Mujeres (023)",6,6,,,
"De 15 a 29 años (024)",302,241,32,10,19
"Hombres (025)",216,179,19,8,10
"Mujeres (026)",86,62,13,2,9
"De 30 a 44 años (027)",450,357,29,25,39
"Hombres (028)",315,253,20,14,28
"Mujeres (029)",135,104,9,11,11
"De 45 a 64 años (030)",305,264,14,18,9
"Hombres (031)",229,198,8,15,8
"Mujeres (032)",76,66,6,3,1
"De 65 y más años (033)",79,72,3,4,
"Hombres (034)",66,59,3,4,
"Mujeres (035)",13,13,,,
,,,,,
"RURAL (036)",6709,6523,121,40,25
"Hombres (037)",6140,5983,106,32,19
"Mujeres (038)",569,540,15,8,6
"De 06 a 14 años (039)",147,143,4,,
"Hombres (040)",138,134,4,,
"Mujeres (041)",9,9,,,
"De 15 a 29 años (042)",2292,2225,37,16,14
"Hombres (043)",2075,2020,33,12,10
"Mujeres (044)",217,205,4,4,4
"De 30 a 44 años (045)",2119,2050,47,16,6
"Hombres (046)",1930,1875,39,12,4
"Mujeres (047)",189,175,8,4,2
"De 45 a 64 años (048)",1481,1440,28,8,5
"Hombres (049)",1368,1330,25,8,5
"Mujeres (050)",113,110,3,,
"De 65 y más años (051)",670,665,5,,
"Hombres (052)",629,624,5,,
"Mujeres (053)",41,41,,,
