"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUAROCHIRI (000)",928,252,676
"De 14 a 29 años (001)",510,193,317
"De 30 a 44 años (002)",242,47,195
"De 45 a 64 años (003)",137,12,125
"De 65 y más años (004)",39,,39
"Hombres (005)",626,153,473
"De 14 a 29 años (006)",327,119,208
"De 30 a 44 años (007)",162,27,135
"De 45 a 64 años (008)",107,7,100
"De 65 y más años (009)",30,,30
"Mujeres (010)",302,99,203
"De 14 a 29 años (011)",183,74,109
"De 30 a 44 años (012)",80,20,60
"De 45 a 64 años (013)",30,5,25
"De 65 y más años (014)",9,,9
,,,
"AREA URBANA (015)",712,184,528
"De 14 a 29 años (016)",384,141,243
"De 30 a 44 años (017)",184,33,151
"De 45 a 64 años (018)",110,10,100
"De 65 y más años (019)",34,,34
"Hombres (020)",474,104,370
"De 14 a 29 años (021)",240,82,158
"De 30 a 44 años (022)",121,16,105
"De 45 a 64 años (023)",86,6,80
"De 65 y más años (024)",27,,27
"Mujeres (025)",238,80,158
"De 14 a 29 años (026)",144,59,85
"De 30 a 44 años (027)",63,17,46
"De 45 a 64 años (028)",24,4,20
"De 65 y más años (029)",7,,7
,,,
"AREA RURAL (030)",216,68,148
"De 14 a 29 años (031)",126,52,74
"De 30 a 44 años (032)",58,14,44
"De 45 a 64 años (033)",27,2,25
"De 65 y más años (034)",5,,5
"Hombres (035)",152,49,103
"De 14 a 29 años (036)",87,37,50
"De 30 a 44 años (037)",41,11,30
"De 45 a 64 años (038)",21,1,20
"De 65 y más años (039)",3,,3
"Mujeres (040)",64,19,45
"De 14 a 29 años (041)",39,15,24
"De 30 a 44 años (042)",17,3,14
"De 45 a 64 años (043)",6,1,5
"De 65 y más años (044)",2,,2
