"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia PAITA (000)",55822,24828,1286,402,27240,804,23,135,55,1049
"Hombres (001)",18716,12380,928,221,3997,420,16,73,49,632
"Mujeres (002)",37106,12448,358,181,23243,384,7,62,6,417
"De 06 a 14 años (003)",19952,18610,,,842,270,,26,,204
"Hombres (004)",9952,9393,,,312,134,,13,,100
"Mujeres (005)",10000,9217,,,530,136,,13,,104
"De 15 a 29 años (006)",16659,6100,10,114,9899,,9,34,55,438
"Hombres (007)",4747,2950,4,48,1427,,5,22,49,242
"Mujeres (008)",11912,3150,6,66,8472,,4,12,6,196
"De 30 a 44 años (009)",8614,88,25,96,8190,,5,19,,191
"Hombres (010)",1039,28,10,44,813,,4,10,,130
"Mujeres (011)",7575,60,15,52,7377,,1,9,,61
"De 45 a 64 años (012)",6397,30,251,111,5799,17,8,22,,159
"Hombres (013)",1203,9,158,72,807,16,6,14,,121
"Mujeres (014)",5194,21,93,39,4992,1,2,8,,38
"De 65 y más años (015)",4200,,1000,81,2510,517,1,34,,57
"Hombres (016)",1775,,756,57,638,270,1,14,,39
"Mujeres (017)",2425,,244,24,1872,247,,20,,18
,,,,,,,,,,
"AREA URBANA (018)",53214,23742,1187,394,25901,776,23,128,54,1009
"Hombres (019)",17901,11819,864,216,3856,409,16,68,48,605
"Mujeres (020)",35313,11923,323,178,22045,367,7,60,6,404
"De 06 a 14 años (021)",19038,17757,,,799,259,,25,,198
"Hombres (022)",9479,8942,,,298,131,,13,,95
"Mujeres (023)",9559,8815,,,501,128,,12,,103
"De 15 a 29 años (024)",15909,5872,10,114,9398,,9,32,54,420
"Hombres (025)",4586,2841,4,48,1387,,5,20,48,233
"Mujeres (026)",11323,3031,6,66,8011,,4,12,6,187
"De 30 a 44 años (027)",8210,85,25,96,7798,,5,18,,183
"Hombres (028)",996,27,10,44,777,,4,9,,125
"Mujeres (029)",7214,58,15,52,7021,,1,9,,58
"De 45 a 64 años (030)",6077,28,228,108,5516,16,8,19,,154
"Hombres (031)",1153,9,149,71,775,15,6,12,,116
"Mujeres (032)",4924,19,79,37,4741,1,2,7,,38
"De 65 y más años (033)",3980,,924,76,2390,501,1,34,,54
"Hombres (034)",1687,,701,53,619,263,1,14,,36
"Mujeres (035)",2293,,223,23,1771,238,,20,,18
,,,,,,,,,,
"AREA RURAL (036)",2608,1086,99,8,1339,28,,7,1,40
"Hombres (037)",815,561,64,5,141,11,,5,1,27
"Mujeres (038)",1793,525,35,3,1198,17,,2,,13
"De 06 a 14 años (039)",914,853,,,43,11,,1,,6
"Hombres (040)",473,451,,,14,3,,,,5
"Mujeres (041)",441,402,,,29,8,,1,,1
"De 15 a 29 años (042)",750,228,,,501,,,2,1,18
"Hombres (043)",161,109,,,40,,,2,1,9
"Mujeres (044)",589,119,,,461,,,,,9
"De 30 a 44 años (045)",404,3,,,392,,,1,,8
"Hombres (046)",43,1,,,36,,,1,,5
"Mujeres (047)",361,2,,,356,,,,,3
"De 45 a 64 años (048)",320,2,23,3,283,1,,3,,5
"Hombres (049)",50,,9,1,32,1,,2,,5
"Mujeres (050)",270,2,14,2,251,,,1,,
"De 65 y más años (051)",220,,76,5,120,16,,,,3
"Hombres (052)",88,,55,4,19,7,,,,3
"Mujeres (053)",132,,21,1,101,9,,,,
