"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUALLAGA (000)",245,68,177
"De 14 a 29 años (001)",106,49,57
"De 30 a 44 años (002)",88,16,72
"De 45 a 64 años (003)",41,3,38
"De 65 y más años (004)",10,,10
"Hombres (005)",197,50,147
"De 14 a 29 años (006)",80,33,47
"De 30 a 44 años (007)",73,15,58
"De 45 a 64 años (008)",37,2,35
"De 65 y más años (009)",7,,7
"Mujeres (010)",48,18,30
"De 14 a 29 años (011)",26,16,10
"De 30 a 44 años (012)",15,1,14
"De 45 a 64 años (013)",4,1,3
"De 65 y más años (014)",3,,3
,,,
"AREA URBANA (015)",178,35,143
"De 14 a 29 años (016)",64,21,43
"De 30 a 44 años (017)",70,11,59
"De 45 a 64 años (018)",34,3,31
"De 65 y más años (019)",10,,10
"Hombres (020)",144,27,117
"De 14 a 29 años (021)",50,15,35
"De 30 a 44 años (022)",57,10,47
"De 45 a 64 años (023)",30,2,28
"De 65 y más años (024)",7,,7
"Mujeres (025)",34,8,26
"De 14 a 29 años (026)",14,6,8
"De 30 a 44 años (027)",13,1,12
"De 45 a 64 años (028)",4,1,3
"De 65 y más años (029)",3,,3
,,,
"AREA RURAL (030)",67,33,34
"De 14 a 29 años (031)",42,28,14
"De 30 a 44 años (032)",18,5,13
"De 45 a 64 años (033)",7,,7
"Hombres (035)",53,23,30
"De 14 a 29 años (036)",30,18,12
"De 30 a 44 años (037)",16,5,11
"De 45 a 64 años (038)",7,,7
"Mujeres (040)",14,10,4
"De 14 a 29 años (041)",12,10,2
"De 30 a 44 años (042)",2,,2
