"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ILO (000)",26126,155,7411,10552,7168,840
"Agric., ganadería, caza y silvicultura (001)",298,1,60,81,102,54
"Pesca (002)",2156,6,647,1004,453,46
"Explotación de minas y canteras (003)",979,,73,208,660,38
"Industrias manufactureras (004)",1971,7,694,702,502,66
"Suministro de electricidad, gas y agua (005)",199,,53,84,60,2
"Construcción (006)",2391,2,660,993,683,53
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5599,65,1550,2169,1532,283
"Venta, mant.y rep. veh.autom.y motoc. (008)",841,2,305,334,185,15
"Comercio al por mayor (009)",294,2,99,131,54,8
"Comercio al por menor (010)",4464,61,1146,1704,1293,260
"Hoteles y restaurantes (011)",1666,29,489,633,454,61
"Trans., almac. y comunicaciones (012)",2652,8,836,1042,685,81
"Intermediación financiera (013)",235,,93,98,41,3
"Activid.inmobil., empres. y alquileres (014)",1857,1,600,831,394,31
"Admin.pub. y defensa; p. segur.soc.afil (015)",1337,,328,611,386,12
"Enseñanza (016)",1420,,293,800,320,7
"Servicios sociales y de salud (017)",618,,104,272,227,15
"Otras activ. serv.comun.soc y personales (018)",856,10,275,311,226,34
"Hogares privados con servicio doméstico (019)",648,18,295,218,109,8
"Actividad economica no especificada (021)",1244,8,361,495,334,46
"Hombres (022)",16445,87,4504,6472,4802,580
"Agric., ganadería, caza y silvicultura (023)",195,1,39,54,67,34
"Pesca (024)",2085,6,618,973,442,46
"Explotación de minas y canteras (025)",935,,66,188,643,38
"Industrias manufactureras (026)",1545,5,580,531,373,56
"Suministro de electricidad, gas y agua (027)",177,,44,76,55,2
"Construcción (028)",2300,2,628,949,668,53
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2443,38,705,932,628,140
"Venta, mant.y rep. veh.autom.y motoc. (030)",788,1,283,314,177,13
"Comercio al por mayor (031)",149,2,48,67,26,6
"Comercio al por menor (032)",1506,35,374,551,425,121
"Hoteles y restaurantes (033)",389,11,148,109,100,21
"Trans., almac. y comunicaciones (034)",2336,7,692,907,650,80
"Intermediación financiera (035)",105,,36,44,22,3
"Activid.inmobil., empres. y alquileres (036)",1323,1,385,591,318,28
"Admin.pub. y defensa; p. segur.soc.afil (037)",919,,197,416,295,11
"Enseñanza (038)",421,,53,235,129,4
"Servicios sociales y de salud (039)",157,,17,56,75,9
