"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TRUJILLO (000)",6570,6438,132
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",1799,1790,9
"Casa pensión (003)",228,228,
"Hospital, clinica (004)",533,533,
"Cárcel, centro de readaptación social (005)",1914,1914,
"Aldea infantil, orfelinato, etc (007)",265,260,5
"Otro (008)",1247,1129,118
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",584,584,
