"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia DATEM DEL MARAÑON (000)",16175,1166,6751,4981,2811,466
"Agric., ganadería, caza y silvicultura (001)",12289,1032,5176,3498,2178,405
"Pesca (002)",216,11,89,70,43,3
"Explotación de minas y canteras (003)",107,4,43,34,25,1
"Industrias manufactureras (004)",234,5,90,85,50,4
"Suministro de electricidad, gas y agua (005)",1,,1,,,
"Construcción (006)",160,2,80,49,24,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",656,31,238,238,136,13
"Venta, mant.y rep. veh.autom.y motoc. (008)",52,2,19,19,12,
"Comercio al por mayor (009)",37,,15,14,7,1
"Comercio al por menor (010)",567,29,204,205,117,12
"Hoteles y restaurantes (011)",216,11,80,80,41,4
"Trans., almac. y comunicaciones (012)",164,6,76,57,23,2
"Intermediación financiera (013)",4,,2,1,1,
"Activid.inmobil., empres. y alquileres (014)",65,,27,27,10,1
"Admin.pub. y defensa; p. segur.soc afil (015)",163,,53,78,32,
"Enseñanza (016)",742,,201,427,112,2
"Servicios sociales y de salud (017)",128,,49,63,14,2
"Otras activ. serv.comun.soc y personales (018)",86,3,34,39,9,1
"Hogares privados con servicio doméstico (019)",199,23,131,25,17,3
"Actividad economica no especificada (021)",420,9,200,135,62,14
"Desocupado (022)",325,29,181,75,34,6
"Hombres (023)",10026,596,3911,3252,1930,337
"Agric., ganadería, caza y silvicultura (024)",7329,526,2888,2182,1444,289
"Pesca (025)",211,8,87,70,43,3
"Explotación de minas y canteras (026)",97,4,36,32,24,1
"Industrias manufactureras (027)",201,5,75,76,41,4
"Suministro de electricidad, gas y agua (028)",1,,1,,,
"Construcción (029)",159,2,79,49,24,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",393,16,135,136,94,12
"Venta, mant.y rep. veh.autom.y motoc. (031)",48,2,16,19,11,
"Comercio al por mayor (032)",27,,9,11,6,1
"Comercio al por menor (033)",318,14,110,106,77,11
"Hoteles y restaurantes (034)",57,3,22,20,9,3
"Trans., almac. y comunicaciones (035)",157,2,74,57,22,2
"Intermediación financiera (036)",2,,1,,1,
"Activid.inmobil., empres. y alquileres (037)",58,,24,24,9,1
"Admin.pub. y defensa; p. segur.soc afil (038)",137,,36,70,31,
"Enseñanza (039)",525,,117,311,96,1
"Servicios sociales y de salud (040)",78,,27,39,11,1
