"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SATIPO (000)",41269,16012,25257
"Red pública dentro de la vivienda (001)",8023,7274,749
"Red pública fuera de la vivienda (002)",2664,2290,374
"Pilón de uso público (003)",901,528,373
"Camión - cisterna u otro similar (004)",45,23,22
"Pozo (005)",2631,1063,1568
"Río, acequia, manatial o similar (006)",25915,4376,21539
"Vecino (007)",790,322,468
"Otro (008)",300,136,164
,,,
"URBANA (010)",11433,10041,1392
"Red pública dentro de la vivienda (011)",6944,6485,459
"Red pública fuera de la vivienda (012)",1936,1740,196
"Pilón de uso público (013)",377,318,59
"Camión - cisterna u otro similar (014)",3,2,1
"Pozo (015)",762,593,169
"Río, acequia, manatial o similar (016)",921,616,305
"Vecino (017)",345,188,157
"Otro (018)",145,99,46
,,,
"RURAL (020)",29836,5971,23865
"Red pública dentro de la vivienda (021)",1079,789,290
"Red pública fuera de la vivienda (022)",728,550,178
"Pilón de uso público (023)",524,210,314
"Camión - cisterna u otro similar (024)",42,21,21
"Pozo (025)",1869,470,1399
"Río, acequia, manatial o similar (026)",24994,3760,21234
"Vecino (027)",445,134,311
"Otro (028)",155,37,118
