"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",16360,9792,2220,2492,1856
"Sin nivel (001)",1171,1062,48,39,22
"Educación inicial (002)",18,10,2,2,4
"Primaria (003)",4992,3482,581,573,356
"Secundaria (004)",8216,4370,1284,1513,1049
"Superior no univ. incompleta (005)",568,303,87,93,85
"Superior no univ. completa (006)",497,215,77,77,128
"Superior univ. incompleta (007)",318,148,46,62,62
"Superior univ. completa (008)",580,202,95,133,150
"De 06 a 14 años (010)",124,109,5,8,2
"Sin nivel (011)",6,6,,,
"Educación inicial (012)",2,,1,1,
"Primaria (013)",74,68,2,3,1
"Secundaria (014)",42,35,2,4,1
"De 15 a 29 años (020)",6626,3595,998,1180,853
"Sin nivel (021)",90,72,5,11,2
"Educación inicial (022)",6,4,,,2
"Primaria (023)",1138,758,149,142,89
"Secundaria (024)",4506,2339,711,885,571
"Superior no univ. incompleta (025)",296,161,50,41,44
"Superior no univ. completa (026)",239,116,32,32,59
"Superior univ. incompleta (027)",175,84,21,35,35
"Superior univ. completa (028)",176,61,30,34,51
"De 30 a 44 años (030)",5984,3413,873,985,713
"Sin nivel (031)",193,166,12,11,4
"Educación inicial (032)",10,6,1,1,2
"Primaria (033)",2070,1345,266,301,158
"Secundaria (034)",2899,1550,471,497,381
"Superior no univ. incompleta (035)",222,113,30,46,33
"Superior no univ. completa (036)",207,81,39,39,48
"Superior univ. incompleta (037)",101,51,11,21,18
"Superior univ. completa (038)",282,101,43,69,69
"De 45 a 64 años (040)",3009,2115,317,307,270
"Sin nivel (041)",545,497,23,12,13
"Primaria (043)",1460,1094,148,121,97
"Secundaria (044)",750,429,99,127,95
"Superior no univ. incompleta (045)",50,29,7,6,8
"Superior no univ. completa (046)",50,17,6,6,21
"Superior univ. incompleta (047)",40,13,13,6,8
"Superior univ. completa (048)",114,36,21,29,28
"De 65 y más años (050)",617,560,27,12,18
"Sin nivel (051)",337,321,8,5,3
"Primaria (053)",250,217,16,6,11
"Secundaria (054)",19,17,1,,1
"Superior no univ. completa (056)",1,1,,,
"Superior univ. incompleta (057)",2,,1,,1
"Superior univ. completa (058)",8,4,1,1,2
,,,,,
"URBANA (060)",11369,6000,1926,2127,1316
