"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LA CONVENCION (000)",63035,7336,9429,34569,1283,9469,949
"Conviviente (001)",26905,2713,4069,16312,490,2998,323
"Separado(a) (002)",2355,286,370,1421,55,149,74
"Casado(a) (003)",15486,1950,1572,9737,426,1713,88
"Viudo(a) (004)",2505,79,252,1879,63,183,49
"Divorciado(a) (005)",392,60,48,227,16,33,8
"Soltero(a) (006)",15392,2248,3118,4993,233,4393,407
"Hombres (008)",46662,4364,8119,27366,1041,5636,136
"Conviviente (009)",19848,1680,3438,13158,408,1136,28
"Separado(a) (010)",1270,109,266,786,29,77,3
"Casado(a) (011)",11487,1321,1296,7923,363,575,9
"Viudo(a) (012)",1422,20,179,1075,38,101,9
"Divorciado(a) (013)",260,33,39,154,11,22,1
"Soltero(a) (014)",12375,1201,2901,4270,192,3725,86
"Mujeres (016)",16373,2972,1310,7203,242,3833,813
"Conviviente (017)",7057,1033,631,3154,82,1862,295
"Separado(a) (018)",1085,177,104,635,26,72,71
"Casado(a) (019)",3999,629,276,1814,63,1138,79
"Viudo(a) (020)",1083,59,73,804,25,82,40
"Divorciado(a) (021)",132,27,9,73,5,11,7
"Soltero(a) (022)",3017,1047,217,723,41,668,321
,,,,,,,
"URBANA (024)",19489,5207,2758,9124,535,1433,432
"Conviviente (025)",7939,1811,1267,4029,202,528,102
"Separado(a) (026)",896,206,100,498,29,30,33
"Casado(a) (027)",5273,1482,532,2674,176,370,39
"Viudo(a) (028)",564,57,61,390,22,15,19
"Divorciado(a) (029)",168,51,15,88,9,2,3
"Soltero(a) (030)",4649,1600,783,1445,97,488,236
"Hombres (032)",12067,3077,2394,5545,389,610,52
"Conviviente (033)",5001,1107,1102,2469,151,162,10
"Separado(a) (034)",313,82,67,141,13,10,
"Casado(a) (035)",3318,991,449,1654,135,84,5
"Viudo(a) (036)",199,12,43,126,13,4,1
"Divorciado(a) (037)",88,28,13,41,6,,
"Soltero(a) (038)",3148,857,720,1114,71,350,36
"Mujeres (040)",7422,2130,364,3579,146,823,380
"Conviviente (041)",2938,704,165,1560,51,366,92
"Separado(a) (042)",583,124,33,357,16,20,33
"Casado(a) (043)",1955,491,83,1020,41,286,34
"Viudo(a) (044)",365,45,18,264,9,11,18
"Divorciado(a) (045)",80,23,2,47,3,2,3
"Soltero(a) (046)",1501,743,63,331,26,138,200
,,,,,,,
"RURAL (048)",43546,2129,6671,25445,748,8036,517
"Conviviente (049)",18966,902,2802,12283,288,2470,221
"Separado(a) (050)",1459,80,270,923,26,119,41
"Casado(a) (051)",10213,468,1040,7063,250,1343,49
"Viudo(a) (052)",1941,22,191,1489,41,168,30
"Divorciado(a) (053)",224,9,33,139,7,31,5
"Soltero(a) (054)",10743,648,2335,3548,136,3905,171
"Hombres (056)",34595,1287,5725,21821,652,5026,84
"Conviviente (057)",14847,573,2336,10689,257,974,18
"Separado(a) (058)",957,27,199,645,16,67,3
"Casado(a) (059)",8169,330,847,6269,228,491,4
"Viudo(a) (060)",1223,8,136,949,25,97,8
"Divorciado(a) (061)",172,5,26,113,5,22,1
"Soltero(a) (062)",9227,344,2181,3156,121,3375,50
"Mujeres (064)",8951,842,946,3624,96,3010,433
"Conviviente (065)",4119,329,466,1594,31,1496,203
"Separado(a) (066)",502,53,71,278,10,52,38
"Casado(a) (067)",2044,138,193,794,22,852,45
"Viudo(a) (068)",718,14,55,540,16,71,22
"Divorciado(a) (069)",52,4,7,26,2,9,4
"Soltero(a) (070)",1516,304,154,392,15,530,121
